Term,Definition,Grammatical Label,Topic,URL

expanding cement,A cement system exhibiting a bulk volumetric increase after setting. Expanding cement is commonly used to eliminate or minimize the effects of microannuli.,Noun,Drilling Fluids,https://glossary.slb.com/en/terms/e/expanding_cement
external phase,The continuous phase of an emulsion. The internal phase is the dispersed droplets of emulsified fluid.,Noun,Drilling Fluids,https://glossary.slb.com/en/terms/e/external_phase
endpoint,"During a titration procedure in analytical chemistry, the point at which reagent addition should be immediately stopped and the volume of reagent recorded. The endpoint represents the end of a specific chemical reaction, such as precipitation, and may be indicated by a color change, a voltage or pH reading or an inflection point on a graphical plot of the data.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/e/endpoint
ES test,"A test for oil-base and synthetic-base muds that indicates the emulsion and oil-wetting qualities of the sample. The test is performed by inserting the ES probe into a cup of 120 degF [48.9 degC] mud and pushing a test button. The ES meter automatically applies an increasing voltage (from 0 to 2,000 volts) across an electrode gap in the probe. Maximum voltage that the mud will sustain across the gap before conducting current is displayed as the ES voltage. The modern ES meter has sine-wave circuitry, whereas older meters used square-wave circuits. (The older units should not be used because they do not correctly address the theory described in the reference below.) The ES sine-wave design and meaning of ES readings have been studied and were found to relate to an oil mud's oil-wetting of solids and to stability of the emulsion droplets in a complex fashion not yet understood.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/e/es_test
EPA,"Abbreviation for Environmental Protection Agency, a branch of the US government that administers laws passed by the US Congress on environmental matters.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/e/epa
end point,"During a titration procedure in analytical chemistry, the point at which reagent addition should be immediately stopped and the volume of reagent recorded. The endpoint represents the end of a specific chemical reaction, such as precipitation, and may be indicated by a color change, a voltage or pH reading or an inflection point on a graphical plot of the data.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/e/end_point
epm,"Abbreviation for equivalents-per-million. This unit of concentration is determined by dividing the number of equivalents of a substance by the weight of the solution that contains the substance, expressing the result as parts per million, and then dividing by the valency. For example, a solution containing one milligram of calcium in one kilogram of solution contains 1 ppm calcium. By dividing the ppm by the valency of calcium, which is 2 in this case, the result is the epm of calcium, 0.5 epm.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/e/epm
equivalent sack,"The weight of any cementitious material or blend based on the absolute volume of the cement. The term is normally used to define a sack of cement blend in which part of the cement has been replaced, on an absolute volume basis, by a pozzolanic material such as fly ash.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/e/equivalent_sack
equivalent weight,"The molecular weight of an element, molecule or ion divided by its valence (or valence change for a redox reaction). For example, the molecular weight of calcium hydroxide, or ""slaked lime,"" [Ca(OH)2] is 72.10. Because the valency of calcium in this case is 2, the equivalent weight of lime is 36.05. Mud analyses give concentrations in various units: ppm, mg/L, wt.% and epm. Mud engineers should recognize the meaning of epm and equivalent weight of a mud chemical.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/e/equivalent_weight
equivalent circulating density,"The effective density exerted by a circulating fluid against the formation that takes into account the pressure drop in the annulus above the point being considered. The ECD is calculated as: d + P/(0.052*D), where d is the mud weight (ppg), P is the pressure drop in the annulus between depth D and surface (psi), and D is the true vertical depth (feet). The ECD is an important parameter in avoiding kicks and losses, particularly in wells that have a narrow window between the fracture gradient and pore-pressure gradient.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/e/equivalent_circulating_density
EDTA,"Ethylenediamine tetraacetic acid, the reagent used to titrate for calcium and magnesium ions (hardness ions) in water samples. It is also known as versenate or titraver.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/e/edta
ECD,"The effective density exerted by a circulating fluid against the formation that takes into account the pressure drop in the annulus above the point being considered. The ECD is calculated as: d + P/(0.052*D), where d is the mud weight (ppg), P is the pressure drop in the annulus between depth D and surface (psi), and D is the true vertical depth (feet). The ECD is an important parameter in avoiding kicks and losses, particularly in wells that have a narrow window between the fracture gradient and pore-pressure gradient.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/e/ecd
electrical stability test,"A test for oil-based and synthetic-base muds that indicates the emulsion and oil-wetting qualities of the sample. The test is performed by inserting the electrical survey (ES) probe into a cup of 120 degF [48.9 degC] mud and pushing a test button. The ES meter automatically applies an increasing voltage (from 0 to 2,000 volts) across an electrode gap in the probe. Maximum voltage that the mud will sustain across the gap before conducting current is displayed as the ES voltage. The modern ES meter has sine-wave circuitry, whereas older meters used square-wave circuits. (The older units should not be used because they do not correctly address the theory described in the reference below.) The ES sine-wave design and meaning of ES readings have been studied and were found to relate to an oil mud's oil-wetting of solids and to stability of the emulsion droplets in a complex fashion not yet understood.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/e/electrical_stability_test
easy to disperse in salt,Pertaining to cement that is highly sensitive to the concentration of dispersant when the slurry is mixed with water containing a high concentration of salt. Overdispersion often leads to slurry-stability problems. The term is commonly abbreviated ETDS.,Adjective,Drilling Fluids,https://glossary.slb.com/en/terms/e/easy_to_disperse_in_salt
easy to disperse,"Pertaining to cement that is highly sensitive to the concentration of dispersant, often leading to slurry-stability problems. The term is commonly abbreviated ETD.",Adjective,Drilling Fluids,https://glossary.slb.com/en/terms/e/easy_to_disperse
effective laminar flow,A technique for displacing drilling mud from the annulus using a laminar-flow regime.,Noun,Drilling Fluids,https://glossary.slb.com/en/terms/e/effective_laminar_flow
filter-cake thickness,"A measurement of the thickness of the filter cake, usually recorded in 32nds-inch. Under dynamic conditions, filter-cake thickness depends on rate of deposition versus erosion caused by fluid circulation and mechanical abrasion by the rotating drillstring. Typically, the filter cake will reach an equilibrium thickness in the wellbore. In laboratory tests, however, filter cake is built under static conditions with no erosion.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/f/filter-cake_thickness
fine,A particle size term referring in the strict sense (API Bulletin 13C) to any particle in the size range 44 to 74 microns. More generally it is used to indicate any particle not removed by the shaker screens.,Adjective,Drilling Fluids,https://glossary.slb.com/en/terms/f/fine
fish eye,"A slang term for a globule of partly hydrated polymer caused by poor dispersion during the mixing process (commonly a result of adding the product too fast). Fish eyes are typically 0.2 to 0.5 inches in size and consist of a granule of unhydrated polymer surrounded by a gelatinous covering of hydrated polymer, which prevents water from entering to complete the hydration process. Thus, once formed, fish eyes do not disperse and the product is removed on the shaker screens and wasted.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/f/fish_eye
fines,"In a broad sense, very small particles, either in a mud or a mud additive sample.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/f/fines
flake LCM,"A type of lost-circulation material (LCM) that is thin and flat in shape, with a large surface area. Flake LCM can be prepared in various sizes. It should be insoluble and inert to the mud system in which it is used. Its purpose is to seal off fluid loss zones in a well and help stop lost circulation. Mica flakes and pieces of plastic (cellophane) sheeting are commonly used. Often, granular, flake and fiber LCMs will be mixed into one LCM pill and pumped into the zone where losses are occurring.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/f/flake_lcm
flowline sample,A mud sample that exits directly out of the well from the annulus and is caught before it passes through the shale-shaker screens. A flowline mud sample contains drill cuttings entrained in the mud.,Noun,Drilling Fluids,https://glossary.slb.com/en/terms/f/flowline_sample
flocculant,"A chemical that causes a dispersed colloidal system (such as clay) to coagulate and form flocs. Most flocculants are either multivalent cations such as calcium, magnesium and aluminum, or long-chain polymers. High pH, high salinity and high temperature can also cause clay flocculation.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/f/flocculant
flash point,"The lowest temperature at which application of a flame to the test chamber of a tester causes vapors of the sample in the chamber to ignite. The test can be applied to base fluids being considered for use in an oil mud or a synthetic mud or to any flammable liquid to determine at what temperature an explosion hazard exists. Test methods, established by API and ASTM, include open-cup and closed-cup tests.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/f/flash_point
