Term,Definition,Grammatical Label,Topic,URL

BHA,"The lower portion of the drillstring, consisting of (from the bottom up in a vertical well) the bit, bit sub, a mud motor (in certain cases), stabilizers, drill collar, heavy-weight drillpipe, jarring devices (""jars""), and crossovers for various threadforms. The bottomhole assembly must provide force for the bit to break the rock (weight on bit), survive a hostile mechanical environment, and provide the driller with directional control of the well. Oftentimes the assembly includes a mud motor, directional drilling and measuring equipment, measurements-while-drilling tools, logging-while-drilling tools, and other specialized devices.",Noun,Drilling,https://glossary.slb.com/en/terms/b/bha
BOP,"A large valve at the top of a well that may be closed if the drilling crew loses control of formation fluids. By closing this valve (usually operated remotely via hydraulic actuators), the drilling crew usually regains control of the reservoir, and procedures can then be initiated to increase the mud density until it is possible to open the BOP and retain pressure control of the formation.",Noun,Drilling,https://glossary.slb.com/en/terms/b/bop
packer,"A device that can be run into a wellbore with a smaller initial outside diameter that then expands externally to seal the wellbore. Packers employ flexible, elastomeric elements that expand. The two most common forms are the production or test packer and the inflatable packer. The expansion of the former may be accomplished by squeezing the elastomeric elements (somewhat doughnut shaped) between two plates, forcing the sides to bulge outward. The expansion of the latter is accomplished by pumping a fluid into a bladder, in much the same fashion as a balloon, but having more robust construction. Production or test packers may be set in cased holes and inflatable packers are used in open or cased holes. They may be run on wireline, pipe or coiled tubing. Some packers are designed to be removable, while others are permanent. Permanent packers are constructed of materials that are easy to drill or mill out.",Noun,Drilling,https://glossary.slb.com/en/terms/p/packer
Christmas tree,"The set of valves, spools, and fittings connected to the top of a well to direct and control the flow of formation fluids from the well.",Noun,Drilling,https://glossary.slb.com/en/terms/c/christmas_tree
extended-reach drilling,Mobil Oil Company first used this term in the early 1980s for drilling directional wells in which the drilled horizontal reach (HR) attained at total depth (TD) exceeded the true vertical depth (TVD) by a factor greater than or equal to two. Extended-reach drilling (ERD) is particularly challenging for directional drilling and requires specialized planning to execute well construction.,Noun,Drilling,https://glossary.slb.com/en/terms/e/extended-reach_drilling
extended reach drilling,Mobil Oil Company first used this term in the early 1980s for drilling directional wells in which the drilled horizontal reach (HR) attained at total depth (TD) exceeded the true vertical depth (TVD) by a factor greater than or equal to two. Extended-reach drilling (ERD) is particularly challenging for directional drilling and requires specialized planning to execute well construction.,Noun,Drilling,https://glossary.slb.com/en/terms/e/extended_reach_drilling
exit velocity,"The speed the drilling fluid attains when accelerated through bit nozzles. The exit velocity is typically in the low-hundreds of feet per second. It has been reported that in certain shaly formations, an impingement velocity on the order of 250 feet per second is required to effectively remove newly created rock chips from the bottom of the hole. This impingement velocity is not, however, the same as the exit velocity, since the high-energy fluid jet loses velocity through viscous losses and conversions from kinetic energy to forms of potential energy occur once the fluid leaves the bit. For this reason, the well designer generally seeks to maximize the fluid velocity (or other measure of jet energy) to achieve maximum cleaning at the bottom of the hole.",Noun,Drilling,https://glossary.slb.com/en/terms/e/exit_velocity
endless tubing,"Another term for coiled tubing, a long, continuous length of pipe wound on a spool. The pipe is straightened prior to pushing into a wellbore and rewound to coil the pipe back onto the transport and storage spool. Depending on the pipe diameter (1 in. to 4 1/2 in.) and the spool size, coiled tubing can range from 2,000 ft to 15,000 ft [610 to 4,570 m] or greater length.",Noun,Drilling,https://glossary.slb.com/en/terms/e/endless_tubing
ERD,Abbreviation for extended-reach drilling. Mobil Oil Company first used this term in the early 1980s for drilling directional wells in which the drilled horizontal reach (HR) attained at total depth (TD) exceeded the true vertical depth (TVD) by a factor greater than or equal to two. Extended-reach drilling (ERD) is particularly challenging for directional drilling and requires specialized planning to execute well construction.,Noun,Drilling,https://glossary.slb.com/en/terms/e/erd
escape line,"A steel cable attached to the rig derrick or mast near the work platform for the derrickman. This cable is anchored at surface level (on a vessel or the Earth) away from the mast in a loose catenary profile, and fitted with a handle and hand brake that is stored at the top. The escape line provides a rapid escape path for the derrickman should well conditions or massive mechanical failure warrant. In such a case the derrickman would disconnect his safety belt from the rig, rehook it over the escape line if time permitted, firmly grip the tee-bar handle and ride the trolley down the cable while holding on to the handle with his hands. The escape line is also known as the ""Geronimo line.""",Noun,Drilling,https://glossary.slb.com/en/terms/e/escape_line
erode,"To cause or undergo erosion, the process of denudation of rocks, including physical, chemical and biological breakdown and transportation. The material from the rocks can be transported by wind, water, ice, or abrasive solid particles, or by mass-wasting, as in rock falls and landslides.",Verb,Geology,https://glossary.slb.com/en/terms/e/erode
erosion,"The process of denudation of rocks, including physical, chemical and biological breakdown and transportation.",Noun,Geology,https://glossary.slb.com/en/terms/e/erosion
eccentricity,"The term used to describe how off-center a pipe is within another pipe or the openhole. It is usually expressed as a percentage. A pipe would be considered to be fully (100%) eccentric if it were lying against the inside diameter of the enclosing pipe or hole. A pipe would be said to be concentric (0% eccentric) if it were perfectly centered in the outer pipe or hole. Eccentricity becomes important to the well designer in estimating casing wear, wear and tear on the drillstring, and the removal of cuttings from the low side of an inclined hole. In the latter case, if the drillpipe lies on the low side of the hole (100% eccentric), the eccentricity results in low-velocity fluid flow on the low side. Gravity pulls cuttings to the low side of the hole, building a bed of small rock chips on the low side of the hole known as a cuttings bed. This cuttings bed becomes difficult to clean out of the annulus and can lead to significant problems for the drilling operation if the pipe becomes stuck in the cuttings bed.",Noun,Drilling,https://glossary.slb.com/en/terms/e/eccentricity
electrodynamic brake,"An electric motor that acts as a brake. Braking is accomplished by reversing the electric fields on the motor, effectively turning it into a generator. The usage of the generated power, either in useful applications or dissipation as heat, restrains the motor-turned-generator and provides a braking action.",Noun,Drilling,https://glossary.slb.com/en/terms/e/electrodynamic_brake
eccentric,"Off-center, as when a pipe is off-center within another pipe or the openhole. Eccentricity is usually expressed as a percentage. A pipe would be considered to be fully (100%) eccentric if it were lying against the inside diameter of the enclosing pipe or hole. A pipe would be said to be concentric (0% eccentric) if it were perfectly centered in the outer pipe or hole. Eccentricity becomes important to the well designer in estimating casing wear, wear and tear on the drillstring, and the removal of cuttings from the low side of an inclined hole. In the latter case, if the drillpipe lies on the low side of the hole (100% eccentric), the eccentricity results in low-velocity fluid flow on the low side. Gravity pulls cuttings to the low side of the hole, building a bed of small rock chips on the low side of the hole known as a cuttings bed. This cuttings bed becomes difficult to clean out of the annulus and can lead to significant problems for the drilling operation if the pipe becomes stuck in the cuttings bed.",Adjective,Drilling,https://glossary.slb.com/en/terms/e/eccentric
