Term,Definition,Grammatical Label,Topic,URL

erosion-corrosion,"A type of corrosion produced when easily removed scales (such as iron carbonate) that were initially protecting the metals in the pipe are eroded and the underlying metals are corroded. Erosion-corrosion is a common cause of failure in oilfield equipment. The attack is normally localized at changes of pipe sections, bends or elbows where there is high velocity or turbulent flow.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/e/erosion-corrosion
equation of state,"An equation that specifies fluid density as a function of pressure and temperature. A large body of scientific literature describes these functions for all kinds of hydrocarbons, and also for complex mixes of various hydrocarbons with other hydrocarbons and with other fluids. Once the components of a reservoir fluid are determined, the known hydrocarbon properties become a valuable tool in making further calculations of well-test results and predictions of future well and reservoir behavior.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/e/equation_of_state
electrical double layer,"With reference to formation evaluation, the layer between a clay particle and the formation water that has a particular distribution of ions. Clays have an excess negative charge on their surface. When in contact with formation water, this charge attracts an excess of positive cations, normally Na+ together with their molecules of hydration water, into a region near the interface. The layer next to the clay surface, the Stern layer, has no anions, and is always present. Outside the Stern layer is the Gouy layer, through which the ion concentration gradually approaches that of free brine. The thickness of this layer increases as brine salinity decreases.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/e/electrical_double_layer
electrical resistance probe,"An instrument used in a corrosion testing to determine metal loss. The probe directly measures the increase in resistance of a metal as its cross-sectional area is reduced by corrosion. At suitable times, once the readings are obtained, these numbers are converted into corrosion rates (mpy). An electrical resistance probe is also called an electrical coupon.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/e/electrical_resistance_probe
five-spot,"An injection pattern in which four input or injection wells are located at the corners of a square and the production well sits in the center. The injection fluid, which is normally water, steam or gas, is injected simultaneously through the four injection wells to displace the oil toward the central production well.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/f/five-spot
fireflooding,"A method of thermal recovery in which a flame front is generated in the reservoir by igniting a fire at the sandface of an injection well. Continuous injection of air or other gas mixture with high oxygen content will maintain the flame front. As the fire burns, it moves through the reservoir toward production wells. Heat from the fire reduces oil viscosity and helps vaporize reservoir water to steam. The steam, hot water, combustion gas and a bank of distilled solvent all act to drive oil in front of the fire toward production wells.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/f/fireflooding
fingering,"A condition whereby the interface of two fluids, such as oil and water, bypasses sections of reservoir as it moves along, creating an uneven, or fingered, profile. Fingering is a relatively common condition in reservoirs with water-injection wells. The result of fingering is an inefficient sweeping action that can bypass significant volumes of recoverable oil and, in severe cases, an early breakthrough of water into adjacent production wellbores.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/f/fingering
flooding pattern,"Also known as injection pattern, the particular arrangement of production and injection wells. The injection pattern for an individual field or part of a field is based on the location of existing wells, reservoir size and shape, cost of new wells and the recovery increase associated with various injection patterns. The flood pattern can be altered during the life of a field to change the direction of flow in a reservoir with the intent of contacting unswept oil. It is common to reduce the pattern size by infill drilling, which improves oil recovery by increasing reservoir continuity between injectors and producers. Common injection patterns are direct line drive, staggered line drive, two-spot, three-spot, four-spot, five-spot, seven-spot and nine-spot. Normally, the two-spot and three-spot patterns are used for pilot testing purposes. The patterns are called normal or regular when they include only one production well per pattern. Patterns are described as inverted when they include only one injection well per pattern.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/f/flooding_pattern
first-contact miscibility,"A condition of two fluids that are miscible that is, they form a single phase when mixed in any proportion when first brought into contact at a given pressure and temperature. In reservoir gasflooding, the injected gas composition, oil composition, temperature, and the injection pressure determine the condition of first-contact miscibility. In contrast, fluids that develop miscibility after exchanging components have multiple-contact miscibility.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/f/first-contact_miscibility
flood front,The interface between an injectant and the fluid it is displacing.,Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/f/flood_front
ferrous sulfide,"A corrosion by-product [FeS2] formed when hydrogen sulfide [H2S] contacts the iron [Fe] present in steel. Ferrous sulfide is a black crystalline material at bottomhole conditions. However, when it contacts air at surface, it will be converted into iron oxide, which is a red-brown compound. Ferrous sulfide is also called iron sulfide.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/f/ferrous_sulfide
forward multiple-contact test,"A laboratory test to determine the phase envelope between lean gas and oil by equilibrating a gas sample several times with fresh samples of oil. In a forward-contact test, light and intermediate components are stripped from the oil by multiple contacts with the gas. The test also indicates how many contacts are required before the gas with added components becomes miscible with the oil. The molar ratios at each contact step are typically designed using PVT simulation software that incorporates the fluid composition at each contact.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/f/forward_multiple-contact_test
fracture acidizing,"A well-stimulation operation in which acid, usually hydrochloric [HCl], is injected into a carbonate formation at a pressure above the formation-fracturing pressure. Flowing acid tends to etch the fracture faces in a nonuniform pattern, forming conductive channels that remain open without a propping agent after the fracture closes. The length of the etched fracture limits the effectiveness of an acid-fracture treatment. The fracture length depends on acid leakoff and acid spending. If acid fluid-loss characteristics are poor, excessive leakoff will terminate fracture extension. Similarly, if the acid spends too rapidly, the etched portion of the fracture will be too short. The major problem in fracture acidizing is the development of wormholes in the fracture face; these wormholes increase the reactive surface area and cause excessive leakoff and rapid spending of the acid. To some extent, this problem can be overcome by using inert fluid-loss additives to bridge wormholes or by using viscosified acids. Fracture acidizing is also called acid fracturing or acid-fracture treatment.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/f/fracture_acidizing
formic acid,"An organic acid used in the stimulation of high-temperature oil and gas wells in which conventional hydrochloric acid systems cannot be adequately inhibited, or where contact time with tubulars is likely to be extended.",Noun,Well Workover and Intervention,https://glossary.slb.com/en/terms/f/formic_acid
flue gas,"A gas generated by burning hydrocarbons with air; it is sometimes used as an enhanced oil recovery (EOR) injectant. The composition consists mainly of nitrogen, carbon dioxide, water vapor and excess oxygen with some impurities, such as carbon monoxide, nitrogen oxides and sulfur oxides. Generally, more carbon dioxide in the flue gas results in a better recovery factor for EOR. By contrast, using more nitrogen results in a lower recovery factor for EOR. However, high concentration of impurities, such as oxygen, nitrous oxides and carbon monoxide, can cause corrosion in production tubulars and surface equipment.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/f/flue_gas
formation damage,"Alteration of the far-field or virgin characteristics of a producing formation, usually by exposure to drilling fluids. The water or solid particles in the drilling fluids, or both, tend to decrease the pore volume and effective permeability of the producible formation in the near-wellbore region. At least two mechanisms are at work. First, solid particles from the drilling fluid physically plug or bridge across flowpaths in the porous formation. Second, when water contacts certain clay minerals in the formation, the clay typically swells, increasing in volume and decreasing the pore volume. Third, chemical reactions between the drilling fluid and the formation rock and fluids can precipitate solids or semisolids that plug pore spaces. One approach to minimize formation damage is to use drill-in or completion fluids that are specially formulated to avoid damage to the formation when drilling pay zones, rather than ordinary drilling fluids.",Noun,Drilling,https://glossary.slb.com/en/terms/f/formation_damage
foam flooding,"An enhanced oil recovery process in which foam is injected into a reservoir to improve the sweep efficiency of a driving fluid. Foam can be generated either in the reservoir pore space or at the surface before injection. Foam flooding mitigates sweep inhomogeneities such as those caused by layers with higher permeability than the surrounding formations, or those caused by gravity override.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/f/foam_flooding
fluoboric acid,"An acid mixture that generates more hydrofluoric [HF] acid as the HF is consumed. In the field, fluoboric acid [HBF4] is easily prepared by mixing boric acid [H3BO3], ammonium bifluoride [NH3F.HF] and hydrochloric acid. Fluoboric acid was developed to counteract the shortcomings associated with mud-acid treatments. It is a retarded fluid that can penetrate deep into the reservoir before spending, especially at high temperatures, and does not contain high HF at any given time. Thus, it is less reactive than mud acid, but its total dissolving power is comparable: HBF4 + H3O --> HBF3OH + HF. The limited amount of HF at any given time decreases the probability of forming precipitates of fluosilicates, fluoaluminates or silica. Fluoboric acid provides permanent stabilization of clays and fines through reactions related to borate and fluoborate ions. For example, borosilicates coat and bind undissolved clays and fines, preventing further mobility of these particles that might plug the formation and impair production. Mud acid does not provide this coating feature. Fluoboric acid also eliminates water sensitivity and is especially recommended in formations containing potassium minerals. Fluoboric acid can be used as a preflush, an overflush or as a main stage in a sandstone matrix acidizing. As a main fluid, a fluoboric acid treatment requires a preflush (weak HCl acid or brine) and should not be overflushed to obtain the maximum stabilization effect in the critical matrix area. Fluoboric acid treatments are the only acid formulations that require long shut-in times because of their long reaction times.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/f/fluoboric_acid
foaming agent,"An additive used in preparation of foam used as a drilling fluid. Drilling foam is water containing air or gas bubbles, much like shaving foam, and it must withstand high salinity, hard water, solids, entrained oil and high temperature. Foaming agents are usually nonionic surfactants and contain polymeric materials.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/f/foaming_agent
gas-cap drive,A type of reservoir-drive mechanism in which the energy for the transport and production of reservoir fluids is provided by the expansion of gas either in the gas cap or inside the oil phase.,Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/g/gas-cap_drive
galvanic anodes,"Materials used to provide cathodic protection. Galvanic anodes are made of metals such as zinc, magnesium or aluminum, which corrode more easily than the structure, thus developing enough electric current flow through the electrolyte (such as soils or water). Galvanic anodes, also called sacrificial anodes, are commonly used when the current required for cathodic protection is small.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/g/galvanic_anodes
gravity override,"A phenomenon of multiphase flow in a reservoir in which a less dense fluid flows preferentially on the top of a reservoir unit and a more dense fluid flows at the bottom. For example, in a steamflood, steam flows on the top and condensed liquid flows at the bottom of the zone. Gravity override causes sweep inhomogeneities that can be mitigated through foam flooding.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/g/gravity_override
gravity drainage,"The least common primary recovery mechanism in which the force of gravity pushes hydrocarbons out of the reservoir, into the wellbore and up to surface. Gravity force is always present in the reservoir, but its effect is greater in thick gas-condensate reservoirs and in shallow, highly permeable, steeply dipping reservoirs.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/g/gravity_drainage
gravity-stable displacement,"A frontal advance in which gravity and viscous forces are in equilibrium, resulting in a stable, highly efficient frontal advance.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/g/gravity-stable_displacement
high-pressure air injection,"An enhanced oil recovery process utilizing compressed air that is injected into a reservoir. Oxygen in the gas reacts exothermically with some of the oil, producing highly mobile flue gas. The flue gas advances ahead of the reaction front and achieves an efficient displacement of the in situ oil. Scientists believe that the high displacement efficiency of high-pressure air injection is due to a combination of processes that include immiscible gas displacement, improved miscibility caused by the presence of CO2 in the flue gas, reduction in interfacial tension, oil swelling and reservoir repressurization. The process is typically used for deep, tight, relatively light-oil reservoirs where water injectivity is low.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/h/high-pressure_air_injection
