Term,Definition,Grammatical Label,Topic,URL

wireline,Related to any aspect of logging that employs an electrical cable to lower tools into the borehole and to transmit data. Wireline logging is distinct from measurements-while-drilling (MWD) and mud logging.,Adjective,Formation Evaluation,https://glossary.slb.com/en/terms/w/wireline
estimated ultimate recovery,"The amount of oil and gas expected to be economically recovered from a reservoir or field by the end of its producing life. Estimated ultimate recovery can be referenced to a well, a field, or a basin.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/estimated_ultimate_recovery
epithermal neutron porosity measurement,"A measurement based on the slowing down of neutrons between a source and one or more detectors that measure neutrons at the epithermal level, where their energy is above that of the surrounding matter, between approximately 0.4 and 10 eV. The slowing-down process is dominated by hydrogen, and is characterized by a slowing-down length. By measuring the neutrons at the epithermal level, rather than the thermal level, the response is a purer estimate of hydrogen index, unaffected by thermal absorbers. On the other hand, the count rate is smaller for the same source and source-detector spacing. Epithermal measurements have been made with both the compensated neutron technique and by using a pad pressed against the borehole wall with detectors focused into the formation.",Adjective,Formation Evaluation,https://glossary.slb.com/en/terms/e/epithermal_neutron_porosity_measurement
environmental corrections,"The adjustments that must be made to log measurements to bring them back to the standard conditions for which the tool has been characterized. Different measurements require different corrections. For example resistivity measurements usually require correction for the borehole, invasion and shoulder beds, and may also be corrected for apparent dip, anisotropy and surrounding beds in horizontal wells. Density measurements require correction only for borehole size, while neutron porosity measurements require corrections for temperature, pressure and a large number of borehole and formation parameters. Not all corrections are significant in all cases. Corrections can be calculated manually, using charts, or applied through software. Conventionally, corrections are applied sequentially, as for example first borehole then invasion. In some situations, such as the combination of deep invasion and high apparent dip on a resistivity measurement, the corrections are too interdependent for sequential application to be accurate. The solution is iterative forward modeling.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/environmental_corrections
endfire array,"A particular arrangement of transmitters and receivers used in the electromagnetic propagation measurement in which the dipoles used as sensors are oriented along the axis of the tool. The orientation is combined with relatively long spacings to give deeper penetration, and hence less effect of mudcake or rugosity.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/endfire_array
excavation effect,"That part of the effect of gas on the neutron porosity measurement that is not explained by differences in hydrogen index. By using the concept of hydrogen index, the only significant contributor to the neutron porosity in a gas zone is the liquid-filled porosity, since the hydrogen indices of gas and matrix are close to zero. However, the resultant liquid-filled porosity is found to be too low. The error comes from treating the gas-filled porosity as matrix. If this matrix is excavated and replaced with gas, the correct response can be predicted.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/excavation_effect
enhanced diffusion,"A technique in nuclear magnetic resonance (NMR) logging based on a long echo spacing, specially chosen to enhance the diffusion of formation water. Echo spacings in standard NMR logs are too short to allow any significant diffusion relaxation from water. Long echo spacings, for example 3 s, cause diffusion relaxation to limit the maximum T2 from water. They also limit the maximum T2 from light hydrocarbons. However, there is a certain range of viscosity of medium oil that is less affected. The enhanced diffusion technique therefore permits the identification of some medium oils.",Adjective,Formation Evaluation,https://glossary.slb.com/en/terms/e/enhanced_diffusion
equivalent water resistivity,"The effective resistivity of the formation water or the mud filtrate, as it affects the electrochemical potential. The electrochemical potential is the main source of the spontaneous potential log. The equivalent water resistivity, or equivalent resistivity, is defined as the reciprocal of the activity of a solution, so that the formula for the electrochemical potential, Ec, can be written as: Ec = - K log10 (Rmfe / Rwe) where K is a coefficient, and Rmfe and Rwe are the equivalent water resistivities. The importance of Rmfe and Rwe is that they are equal to the actual water resistivities for NaCl solutions above about 0.1 ohm-m. In salty waters below 0.1ohm-m, the equivalent resistivity is lower by an amount that depends on temperature and salinity. In fresh waters, divalent ions such as Ca++ and Mg++ have a strong effect on Ec. Rwe is then related to Rw by an empirical transform that assumes average concentrations of these ions. For fresh mud filtrates, it has been common practice to set Rmfe = 0.85 * Rmf.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/equivalent_water_resistivity
equivalent conductance,"With reference to the conductivity of brines, the ionic conductivity provided by a unit ion concentration. The conductivity of the brine (Cw, in siemens per meter or S/m) is determined by the equivalent conductance, (B, in S/m per meq/cm3) and the ion concentration (N, in milli-ion equivalent, or more commonly milliequivalent, meq per cm3) as Cw = B * N.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/equivalent_conductance
electromagnetic propagation measurement,"A measurement of the high frequency (about 1 GHz) dielectric properties of the formation. In a typical tool, a microwave transmitter is placed a few inches below two receivers separated by 4 cm [1.6 in.]. At this frequency, the response is best explained as the propagation of a wave. Thus the phase shift and attenuation of the wave between the receivers are measured and transformed to give the log measurements of propagation time and attenuation. Because of the short spacings, the measurement has excellent vertical resolution and reads within inches of the borehole wall except at high resistivity. Different transmitter and receiver spacings and orientations are used, leading to different arrays, such as the endfire array and the broadside array. An ideal measurement would give the plane wave properties of the formation. However, the geometry of the measurement precludes this, so that a correction, known as the spreading-loss correction, is needed for the attenuation and to a much smaller extent for the propagation time. The measurement is also affected by the dielectric properties and thickness of the mudcake. Borehole compensation is used to correct for sonde tilt or a rough borehole wall.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/electromagnetic_propagation_measurement
electromagnetic propagation,"Pertaining to logs that measure the properties of electromagnetic waves as they move through a formation. Measurements-while-drilling (MWD) propagation resistivity logs work between about 100 kHz and 10 MHz. Dielectric propagation logs work between 20 and 200 MHz. Logs made above 200 MHz and into the GHz range are known as electromagnetic propagation logs. Below about 100 kHz, the measurements are based on the properties of standing waves, not of propagation. Induction and laterolog tools work in this range.",Adjective,Formation Evaluation,https://glossary.slb.com/en/terms/e/electromagnetic_propagation
electrical anisotropy,"A difference in vertical and horizontal resistivity within a formation and at the scale of the resistivity measurement. Although there are several possible types of anisotropy, the term usually is used when the electrical properties are the same in all horizontal directions but different in the vertical direction. For horizontal beds, this type of anisotropy is more fully known as transverse isotropy with a vertical axis of symmetry (TIV). The term may also refer to a difference in resistivities measured parallel and perpendicular to bedding.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/electrical_anisotropy
eccentralizer,"A device that helps to keep a wireline logging tool away from the center of the borehole. Typical devices are a single bow spring mounted on the outside surface of the logging tool or a set of rubber fingers mounted at the bottom. Some measurements, such as induction logs, respond better when the tool is eccentralized, while others, including acoustic logs, are better when centralized.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/eccentralizer
electrode resistivity,"The resistivity measured by an electrode device. The term often is used to distinguish this resistivity from that measured by the measurements-while-drilling propagation resistivity, or the wireline induction resistivity. The term may also refer to measurements-while-drilling toroid devices, such as bit resistivity, ring resistivity, and button resistivity. These devices do not use electrodes but have a similar response. Electrode resistivity measurements respond to resistivity, not conductivity. They are therefore best at measuring true formation resistivity at high resistivities, high contrasts in resistivity between formation and drilling mud, and for conductive invasion. These are conditions that are not well covered by propagation and induction resistivity.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/electrode_resistivity
electrode device,"A logging tool based on an arrangement of simple metallic electrodes working at low frequency (less than 500 Hz). The term includes conventional electrical logs, laterologs, micrologs and other microresistivity logs. Electrode devices are used for both wireline and measurements-while-drilling logs. In all electrode devices, a current (IO) and a voltage (VO) are measured on the appropriate electrodes or combinations of electrodes. The apparent formation resistivity is then determined by: Ra = K VO / IO, where K is a system constant for the device concerned.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/electrode_device
electrical survey,"A particular combination of a spontaneous potential log and three electrical logs consisting of a 16-in. [40-cm] short normal, a 64-in. [162-cm] long normal and an 18-ft, 8-in. [5.7-m] lateral. With this combination, it is possible to correct for the effects of invasion in many average logging environments. This combination is sometimes called a conventional electrical log or survey, or simply electrical log, and is also referred to as the ES.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/electrical_survey
electrokinetic potential,"The electromagnetic force, in millivolts, generated by an electrolyte flowing through a permeable medium. This potential is an unwanted contribution to the spontaneous potential (SP) log. In principle, there is no flow into a permeable reservoir at the time of logging, since the mudcake has isolated the reservoir from the borehole. However, it is possible for mudcakes and shales to produce an electrokinetic potential at the time of logging. In normal conditions, any potential is small and equal along the borehole, so that the effect on the SP is negligible. A significant electrokinetic potential can be generated in particular conditions, for example, high differential pressure or poor mudcakes.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/electrokinetic_potential
electrical log,"A log recorded using an electrical wireline. In this sense, the term refers to any log recorded on a wireline, whether it measures an electrical quantity or not. The term dates from the early days of logging when the only logs were the spontaneous potential and resistivity from conventional electrode devices.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/electrical_log
electrical double layer,"With reference to formation evaluation, the layer between a clay particle and the formation water that has a particular distribution of ions. Clays have an excess negative charge on their surface. When in contact with formation water, this charge attracts an excess of positive cations, normally Na+ together with their molecules of hydration water, into a region near the interface. The layer next to the clay surface, the Stern layer, has no anions, and is always present. Outside the Stern layer is the Gouy layer, through which the ion concentration gradually approaches that of free brine. The thickness of this layer increases as brine salinity decreases.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/electrical_double_layer
echo spacing,"The time between each echo in a nuclear magnetic resonance (NMR) measurement. The time is also the time to the first echo and is therefore an important parameter in defining the fastest relaxation time that can be measured. In standard measurements, the echo spacing ranges from 0.2 to 1 ms.",Noun,Formation Evaluation,https://glossary.slb.com/en/terms/e/echo_spacing
