Term,Definition,Grammatical Label,Topic,URL

exploration play,"An area in which hydrocarbon accumulations or prospects of a given type occur. For example the shale gas plays in North America include the Barnett, Eagle Ford, Fayetteville, Haynesville, Marcellus, and Woodford, among many others. Outside North America, shale gas potential is being pursued in many parts of Europe, Africa, Asia, and South America.",Noun,Geology,https://glossary.slb.com/en/terms/e/exploration_play
exploratory,"Pertaining to exploration, the initial phase in petroleum operations that includes generation of a prospect or play or both, and drilling of an exploration well. Appraisal, development and production phases follow successful exploration.",Adjective,Geology,https://glossary.slb.com/en/terms/e/exploratory
estuarine,"Pertaining to an estuary, a semi-enclosed coastal environment of deposition in which a river mouth permits freshwater to contact and mix with seawater.",Adjective,Geology,https://glossary.slb.com/en/terms/e/estuarine
evaporite,"A class of sedimentary minerals and sedimentary rocks that form by precipitation from evaporating aqueous fluid. Common evaporite minerals are halite, gypsum and anhydrite, which can form as seawater evaporates, and the rocks limestone and dolostone. Certain evaporite minerals, particularly halite, can form excellent cap rocks or seals for hydrocarbon traps because they have minimal porosity and they tend to deform plastically (as opposed to brittle fracturing that would facilitate leakage).",Noun,Geology,https://glossary.slb.com/en/terms/e/evaporite
eustatic,"Pertaining to eustasy, a term for global sea level and its variations. Changes in sea level can result from movement of tectonic plates altering the volume of ocean basins, or when changes in climate affect the volume of water stored in glaciers and in polar icecaps. Eustasy affects positions of shorelines and processes of sedimentation, so interpretation of eustasy is an important aspect of sequence stratigraphy.",Adjective,Geology,https://glossary.slb.com/en/terms/e/eustatic
evaporitic,"Pertaining to evaporite, a class of sedimentary minerals and sedimentary rocks that form by precipitation from evaporating aqueous fluid. Common evaporite minerals are halite, gypsum and anhydrite, which can form as seawater evaporates, and the rocks limestone and dolostone. Certain evaporite minerals, particularly halite, can form excellent cap rocks or seals for hydrocarbon traps because they have minimal porosity and they tend to deform plastically (as opposed to brittle fracturing that would facilitate leakage).",Adjective,Geology,https://glossary.slb.com/en/terms/e/evaporitic
exploration,"The initial phase in petroleum operations that includes generation of a prospect or play or both, and drilling of an exploration well. Appraisal, development and production phases follow successful exploration.",Noun,Geology,https://glossary.slb.com/en/terms/e/exploration
estuary,A semi-enclosed coastal environment of deposition in which a river mouth permits freshwater to contact and mix with seawater.,Noun,Geology,https://glossary.slb.com/en/terms/e/estuary
en echelon,"Describing parallel or subparallel, closely-spaced, overlapping or step-like minor structural features in rock, such as faults and tension fractures, that are oblique to the overall structural trend.",Adjective,Geology,https://glossary.slb.com/en/terms/e/en_echelon
eolian,"Pertaining to the environment of deposition of sediments by wind, such as the sand dunes in a desert. Because fine-grained sediments such as clays are removed easily from wind-blown deposits, eolian sandstones are typically clean and well-sorted.",Adjective,Geology,https://glossary.slb.com/en/terms/e/eolian
erode,"To cause or undergo erosion, the process of denudation of rocks, including physical, chemical and biological breakdown and transportation. The material from the rocks can be transported by wind, water, ice, or abrasive solid particles, or by mass-wasting, as in rock falls and landslides.",Verb,Geology,https://glossary.slb.com/en/terms/e/erode
erosion,"The process of denudation of rocks, including physical, chemical and biological breakdown and transportation.",Noun,Geology,https://glossary.slb.com/en/terms/e/erosion
earthquake,"The sudden release of accumulated stress in the Earth by movement or shaking. Earthquakes are caused by tectonic activity, volcanoes, and human activity (such as explosions). Earthquakes occur in the outer 720 km [445 miles] of the Earth, where rocks tend to break rather than flow under stress. The magnitude of earthquakes is determined according to the logarithmic Richter scale. An earthquake of magnitude 4.5 can cause damage, although humans can feel earthquakes as weak as magnitude 2.0. The San Francisco earthquake of 1906 measured 8.25 on the Richter scale, and the largest ever recorded were 8.9 magnitude earthquakes in Colombia and Ecuador (1906) and Japan (1933), and 9.5 in Chile (1960).",Noun,Geology,https://glossary.slb.com/en/terms/e/earthquake
elastic limit,"The yield point, or the point at which a material can no longer deform elastically. When the elastic limit is exceeded by an applied stress, permanent deformation occurs.",Noun,Geology,https://glossary.slb.com/en/terms/e/elastic_limit
elastic deformation,"The deformation that can be recovered when an applied stress has been removed. When the elastic limit of a material has been exceeded, nonrecoverable, permanent deformation occurs.",Noun,Geology,https://glossary.slb.com/en/terms/e/elastic_deformation
