Term,Definition,Grammatical Label,Topic,URL
extensive dilatancy anisotropy,A form of azimuthal anisotropy that occurs when fractures or microcracks are not horizontal. Waves that travel parallel to the fractures have a higher velocity than waves traveling perpendicular to fractures.,Noun,Geophysics,https://glossary.slb.com/en/terms/e/extensive_dilatancy_anisotropy
explosive seismic data,"Surface seismic data acquired using an explosive energy source, such as dynamite.",Noun,Geophysics,https://glossary.slb.com/en/terms/e/explosive_seismic_data
extended spread,An inline offset spread.,Noun,Geophysics,https://glossary.slb.com/en/terms/e/extended_spread
external disturbance field,"A magnetic disturbance field generated by electric currents flowing in the ionosphere and magnetosphere and “mirror-currents” induced in the Earth and oceans by the external magnetic field time variations. The disturbance field, which is associated with diurnal field variations and magnetic storms, is affected by solar activity (solar wind), the interplanetary magnetic field and the Earth’s magnetic field.",Noun,Geophysics,https://glossary.slb.com/en/terms/e/external_disturbance_field
equipotential method,A technique to map a potential field generated by stationary electrodes by moving an electrode around the survey area.,Noun,Geophysics,https://glossary.slb.com/en/terms/e/equipotential_method
elastic wave,"A seismic or acoustic wave, such as a P-wave.",Noun,Geophysics,https://glossary.slb.com/en/terms/e/elastic_wave
eddy current,An alternating or transient electrical current in a conductive medium in the presence of a time-varying magnetic field. The eddy current generates its own electromagnetic field.,Noun,Geophysics,https://glossary.slb.com/en/terms/e/eddy_current
eel,A hydrophone array in a cable that can be attached to a streamer for acquisition of marine seismic data. The eel can be suspended from the streamer so that the eel is close to the seafloor but the streamer remains high enough to avoid obstacles on the seafloor such as reefs or debris from human activity.,Noun,Geophysics,https://glossary.slb.com/en/terms/e/eel
EDA,A form of azimuthal anisotropy that occurs when fractures or microcracks are not horizontal. Waves that travel parallel to the fractures have a higher velocity than waves traveling perpendicular to fractures.,Noun,Geophysics,https://glossary.slb.com/en/terms/e/eda
electrical permittivity,The ability of a material to store a charge from an applied electrical field without conducting electricity.,Noun,Geophysics,https://glossary.slb.com/en/terms/e/electrical_permittivity
