Term,Definition,Grammatical Label,Topic,URL

ESP,An electric downhole pump used in heavy oil production that is designed with vane and fin configurations to accommodate frictional losses and pump efficiencies caused by heavy oil viscosity.,Noun,Heavy Oil,https://glossary.slb.com/en/terms/e/esp
electric submersible pump,"An artificial-lift system that utilizes a downhole pumping system that is electrically driven. The pump typically comprises several staged centrifugal pump sections that can be specifically configured to suit the production and wellbore characteristics of a given application. Electrical submersible pump systems are a common artificial-lift method, providing flexibility over a range of sizes and output flow capacities.",Noun,Well Completions,https://glossary.slb.com/en/terms/e/electric_submersible_pump
five-spot,"An injection pattern in which four input or injection wells are located at the corners of a square and the production well sits in the center. The injection fluid, which is normally water, steam or gas, is injected simultaneously through the four injection wells to displace the oil toward the central production well.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/f/five-spot
fireflooding,"A method of thermal recovery in which a flame front is generated in the reservoir by igniting a fire at the sandface of an injection well. Continuous injection of air or other gas mixture with high oxygen content will maintain the flame front. As the fire burns, it moves through the reservoir toward production wells. Heat from the fire reduces oil viscosity and helps vaporize reservoir water to steam. The steam, hot water, combustion gas and a bank of distilled solvent all act to drive oil in front of the fire toward production wells.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/f/fireflooding
fishbone wells,A series of multilateral well segments that trunk off a main horizontal well. The appearance closely resembles the ribs of a fish skeleton trunking off the main backbone.,Noun,Heavy Oil,https://glossary.slb.com/en/terms/f/fishbone_wells
flocculate,"The term used to describe what clays, polymers or other small charged particles do when they become attached and form a fragile structure, a floc. In dispersed clay slurries, flocculation occurs after mechanical agitation ceases and the dispersed clay platelets spontaneously form flocs because of attractions between negative face charges and positive edge charges.",Verb,Drilling Fluids,https://glossary.slb.com/en/terms/f/flocculate
flocculation,"A condition in which clays, polymers or other small charged particles become attached and form a fragile structure, a floc. In dispersed clay slurries, flocculation occurs after mechanical agitation ceases and the dispersed clay platelets spontaneously form flocs because of attractions between negative face charges and positive edge charges.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/f/flocculation
foamy oil,"An oil-continuous foam that contains dispersed gas bubbles produced at the wellhead from heavy oil reservoirs under solution gas drive. The nature of the gas dispersions in oil distinguishes foamy oil behavior from conventional heavy oil. The gas that comes out of solution in the reservoir does not coalesce into large gas bubbles nor into a continuous flowing gas phase. Instead it remains as small bubbles entrained in the crude oil, keeping the effective oil viscosity low while providing expansive energy that helps drive the oil toward the producing well. Foamy oil accounts for unusually high production in heavy oil reservoirs under solution-gas drive.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/f/foamy_oil
hot waterflooding,"A method of thermal recovery in which hot water is injected into a reservoir through specially distributed injection wells. Hot waterflooding reduces the viscosity of the crude oil, allowing it to move more easily toward production wells. Hot waterflooding, also known as hot water injection, is typically less effective than a steam-injection process because water has lower heat content than steam. Nevertheless, it is preferable under certain conditions such as formation sensitivity to fresh water.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/h/hot_waterflooding
high-temperature completions,Equipment or systems used for completion of wells in thermal production of heavy oil.,Noun,Heavy Oil,https://glossary.slb.com/en/terms/h/high_temperature_completions
huff and puff,"Slang term for a cyclic process in which a well is injected with a recovery enhancement fluid and, after a soak period, the well is put back on production. Examples are cyclic steam injection and cyclic CO2 injection.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/h/huff_and_puff
heavy oil,"Crude oil with high viscosity (typically above 10 cP), and high specific gravity. The API classifies heavy oil as crudes with a gravity below 22.3° API. In addition to high viscosity and high specific gravity, heavy oils typically have low hydrogen-to-carbon ratios; high asphaltene, sulfur, nitrogen, and heavy-metal content; and higher acid numbers.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/h/heavy_oil
bitumen,"Naturally occurring, inflammable organic matter formed from kerogen in the process of petroleum generation that is soluble in carbon bisulfide. Bitumen includes hydrocarbons such as asphalt and mineral wax. Typically solid or nearly so, brown or black, bitumen has a distinctive petroliferous odor. Laboratory dissolution with organic solvents allows determination of the amount of bitumen in samples, an assessment of source rock richness.",Noun,Geology,https://glossary.slb.com/en/terms/b/bitumen
biodegradation,The process by which complex molecules are broken down by micro-organisms to produce simpler compounds. Biodegradation can be either aerobic (with oxygen) or anaerobic (without oxygen). The potential for biodegradation is commonly measured on drilling-fluid products to ensure that they do not persist in the environment. A variety of tests exist to assess biodegradation.,Noun,Drilling Fluids,https://glossary.slb.com/en/terms/b/biodegradation
blended crude,"A mixture of crude oils, blended in the pipeline to create a crude with specific physical properties. Because heavy and extraheavy crudes or bitumens cannot flow from the field to the refinery in their original state and at normal surface temperatures, they are blended with lighter crude oils primarily to reduce viscosity, thereby enabling transportation to a refinery. A secondary objective may be to provide a blended crude oil that has significantly higher value than the raw heavy crude. The blend is usually constructed so that the value of the overall blended volume is greater than the summed value of the initial volumes of individual heavy and light crudes.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/b/blended_crude
calcium naphthenate,"A calcium soap of naphthenic acids in crude oil. Naphthenates are formed through interaction of naphthenic acids in crude oil with metal ions such as calcium and sodium. Insoluble in either the oil or water phase, and with a density between that of oil and water, naphthenates tend to accumulate at the oil/water interface and act as surfactants to help stabilize emulsions. Naphthenates can also be deposited as solids in pipelines and can cause flow-assurance problems.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/c/calcium_naphthenate
cracking,"The process of splitting a large heavy hydrocarbon molecule into smaller, lighter components. The process involves very high temperature and pressure and can involve a chemical catalyst to improve the process efficiency.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/c/cracking
chemical injection,"A general term for injection processes that use special chemical solutions to improve oil recovery, remove formation damage, clean blocked perforations or formation layers, reduce or inhibit corrosion, upgrade crude oil, or address crude oil flow-assurance issues. Injection can be administered continuously, in batches, in injection wells, or at times in production wells.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/c/chemical_injection
cloud point,"The temperature at which a solution of a surfactant or glycol starts to form micelles (molecular agglomerates), thus becoming cloudy. This behavior is characteristic of nonionic surfactants, which are often soluble at low temperatures but ""cloud out"" at some point as the temperature is raised. Glycols demonstrating this behavior are known as ""cloud-point glycols"" and are used as shale inhibitors. The cloud point is affected by salinity, being generally lower in more saline fluids.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/c/cloud_point
CHOPS,The acronym for cold heavy oil production with sand.,Noun,Heavy Oil,https://glossary.slb.com/en/terms/c/chops
CO2 injection,An enhanced oil recovery method in which carbon dioxide (CO2) is injected into a reservoir to increase production by reducing oil viscosity and providing miscible or partially miscible displacement of the oil.,Noun,Heavy Oil,https://glossary.slb.com/en/terms/c/co2_injection
cyclic steam injection,"A method of thermal recovery in which a well is injected with steam and then subsequently put back on production. A cyclic steam-injection process includes three stages. The first stage is injection, during which a slug of steam is introduced into the reservoir. The second stage, or soak phase, requires that the well be shut in for several days to allow uniform heat distribution to thin the oil. Finally, during the third stage, the thinned oil is produced through the same well. The cycle is repeated as long as oil production is profitable. Cyclic steam injection is used extensively in heavy-oil reservoirs, tar sands, and in some cases to improve injectivity prior to steamflood or in situ combustion operations. Cyclic steam injection is also called steam soak or the huff 'n' puff (slang) method.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/c/cyclic_steam_injection
CSS,Abbreviation for cyclic steam stimulation. Better known as cyclic steam injection.,Noun,Heavy Oil,https://glossary.slb.com/en/terms/c/css
cogeneration,"The process of generating two or more forms of energy from a single energy source. For example, in a heavy oil field, turbines are often used to generate electricity while their waste heat is removed to generate steam. Other alternatives exist, with turbines being run by burning gas or crude oil. Alternatively, the primary heat source can be used to generate steam directly at extremely high pressure and temperature, with the steam being run through a turbine to generate electricity before the steam is distributed to injection wells.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/c/cogeneration
cold heavy oil production with sand,"A non-thermal primary process for producing heavy oil, also called CHOPS. In this method, continuous production of sand improves the recovery of heavy oil from the reservoir. There is both a theoretical basis and physical evidence that, in many cases, wormholes are formed in the unconsolidated sand reservoir, thereby increasing oil productivity. In most cases, an artificial lift system is used to lift the oil with sand.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/c/cold_heavy_oil_production_with_sand
cold production,"Nonthermal primary methods of heavy oil production, which include technologies such as production with horizontal wells, multilaterals, CHOPS, water or gas injection.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/c/cold_production
compositional fluid analysis,"Any of a variety of analytical techniques carried out to determine the composition of a crude oil by breaking it down into basic chemical components. The hydrocarbon components are usually identified by carbon number fractions: C1, C2, C3, etc. up to Cn, where the limiting carbon number, n, is defined by the particular analytical technique. These analytical techniques include but are not limited to",Noun,Heavy Oil,https://glossary.slb.com/en/terms/c/compositional_fluid_analysis
diluent,A hydrocarbon fluid that is used to dilute heavy oil and reduce its viscosity for easier transportation. Generally a distillation tower cut such as naphtha is used as for heavy oil dilution and transportation. The added diluent may be recovered at the destination using distillation and the diluent may be subsequently pumped back for blending.,Noun,Heavy Oil,https://glossary.slb.com/en/terms/d/diluent
dry combustion,An in situ combustion technique in which only air or oxygen-enriched air mixtures are injected into a formation. A drawback related to dry combustion is the highly corrosive and noxious combustion products that are produced.,Noun,Heavy Oil,https://glossary.slb.com/en/terms/d/dry_combustion
