Term,Definition,Grammatical Label,Topic,URL

farmor,The party that originally owns the leasehold interest and assigns the farmout.,Noun,Oil And Gas Business,https://glossary.slb.com/en/terms/f/farmor
fee-simple interest,"Ownership of the entire and absolute right or interest to use or exploit a tract of land from the center of the earth to the stars, including the air, surface and minerals.",Noun,Oil And Gas Business,https://glossary.slb.com/en/terms/f/fee-simple_interest
farmee,"The party that acquires the rights to drill and earn an assignment of the leasehold interest, receiving a farm-in.",Noun,Oil And Gas Business,https://glossary.slb.com/en/terms/f/farmee
farmout,"A contractual agreement with an owner who holds a working interest in an oil and gas lease to assign all or part of that interest to another party in exchange for fulfilling contractually specified conditions. The farmout agreement often stipulates that the other party must drill a well to a certain depth, at a specified location, within a certain time frame; furthermore, the well typically must be completed as a commercial producer to earn an assignment. The assignor of the interest usually reserves a specified overriding royalty interest, with the option to convert the overriding royalty interest to a specified working interest upon payout of drilling and production expenses, otherwise known as a back-in after payout (BIAPO).",Noun,Oil And Gas Business,https://glossary.slb.com/en/terms/f/farmout
foreign content,"The amount of foreign personnel, material and services that working interest owners are permitted to employ, as defined under the terms of a concession when drilling and operating a well.",Noun,Oil And Gas Business,https://glossary.slb.com/en/terms/f/foreign_content
government take,"The total amount of revenue that a host government receives from production. This amount can include taxes, royalties and government participation.",Noun,Oil And Gas Business,https://glossary.slb.com/en/terms/g/government_take
horizontal severance,"A method to convey or reserve oil, gas or mineral rights at specific depths or geologic horizons.",Noun,Oil And Gas Business,https://glossary.slb.com/en/terms/h/horizontal_severance
HBP,Abbreviation for held by production.,Noun,Oil And Gas Business,https://glossary.slb.com/en/terms/h/hbp
held by production,"A provision in an oil, gas, and mineral lease that perpetuates a company's right to operate a property or concession as long as the property or concession produces a minimum paying quantity of oil or gas. Also abbreviated as HBP.",Noun,Oil And Gas Business,https://glossary.slb.com/en/terms/h/held_by_production
bid and study agreement,An agreement between two or more parties to review technical data prior to deciding whether to bid on a concession. The agreement also specifies the interests and the procedure for bidding between the parties in the event that the parties decide to bid on the concession.,Noun,Oil And Gas Business,https://glossary.slb.com/en/terms/b/bid_and_study_agreement
back in,"The right to receive a reversionary interest at some future time, upon fulfillment of contractually specified conditions. This clause allows a lease-owner, lessee or a nonparticipating partner to reserve the option to participate in a well after it has produced enough to pay the operators expenses of drilling and completing that well. This clause is typically used in farmout agreements to convert the overriding royalty interest of a lease-owner, lessee or nonparticipating partner into a working interest upon payout of the well. When the election to convert the overriding royalty to working interest takes place, it is known as a back-in after payout (BIAPO).",Noun,Oil And Gas Business,https://glossary.slb.com/en/terms/b/back_in
