Term,Definition,Grammatical Label,Topic,URL

firing head,"A mechanical or electronic device used to detonate perforating charges conveyed by tubing, drillpipe, coiled tubing or slickline. This term thus connotes any such device that is not initiated electrically from surface by wireline. A mechanical firing head consists of a percussion detonator that is struck by a firing pin. An electronic firing head is battery powered, to initiate an electric detonator. Electronic firing head systems are used with slickline, coiled tubing and TCP.",Noun,Perforating,https://glossary.slb.com/en/terms/f/firing_head
fill sub,A pipe-shaped housing that protects the firing head of a tubing-conveyed perforating gun. It is used to accommodate or deflect debris that might fall toward the firing head while running into the hole or while on depth before shooting.,Noun,Perforating,https://glossary.slb.com/en/terms/f/fill_sub
frac gun,"A specialized perforating-gun system that contains shaped charges loaded at 0°, 60°, 120°, or 180° phase angles to provide a casing entrance hole of approximately 0.5 in. [1.3 cm], which is intended to be large enough for hydraulic fracturing operations.",Noun,Perforating,https://glossary.slb.com/en/terms/f/frac_gun
gun clearance,"The distance between the external surface of the gun assembly and the internal surface of the casing or liner. The gun clearance depends on the position of the gun within the tubular and will vary between phases of shots on any gun unless the gun assembly is centralized. This variation in clearance contributes to variable performance of the perforations. The greater the gun clearance, the smaller the entrance hole-with the effect increasing with depth (pressure).",Noun,Perforating,https://glossary.slb.com/en/terms/g/gun_clearance
gun,"Abbreviation for air gun or water gun. An air gun is a source of seismic energy used in acquisition of marine seismic data. This gun releases highly compressed air into water. Air guns are also used in water-filled pits on land as an energy source during acquisition of vertical seismic profiles. A water gun is a source of energy for acquisition of marine seismic data that shoots water from a chamber in the tool into a larger body of water, creating cavitation. The cavity is a vacuum and implodes without creating secondary bubbles. This provides a short time signature and higher resolution than an air-gun source.",Noun,Geophysics,https://glossary.slb.com/en/terms/g/gun
gun zero,"The point on a gun assembly or perforating string that is used when correlating depth. With use of a surface depth reference or datum point, any convenient point may be used, providing it is applied accurately and consistently. For downhole correlation on wireline applications, the gun zero point will relate to the correlating device, such as the casing collar locator (CCL) or gamma ray log tool. For nonwireline applications, the gun zero point will relate to the locating device, such as the tubing-end locator. The correlation process is crucial to a successful perforating operation; and therefore the importance of ensuring correct placement of the gun assembly prior to firing cannot be overstated.",Noun,Perforating,https://glossary.slb.com/en/terms/g/gun_zero
gravel-pack gun,A perforating-gun system containing big-hole or gravel-pack charges. A gravel-pack gun usually has a large outside diameter to minimize standoff between the gun and casing. It is loaded to achieve a high shot density while producing large holes in the casing.,Noun,Perforating,https://glossary.slb.com/en/terms/g/gravel-pack_gun
high-shot density gun,"A perforating gun having more than four shots per foot. In addition to providing a greater number of perforations, a high-shot density gun also improves the phasing, or distribution of perforations, around the wellbore.",Noun,Perforating,https://glossary.slb.com/en/terms/h/high-shot_density_gun
high explosive,"Chemical explosive material having an extremely high reaction rate that creates very high combustion pressures, unlike low explosives that have a much lower reaction rate and are commonly used as propellants. High explosives are further categorized as primary- and secondary-high explosive. Primary-high explosives are very sensitive, can be detonated easily and are generally used only in percussion and electrical detonators. Secondary-high explosives are less sensitive, require a high-energy shock wave to achieve detonation and are safer to handle. Secondary-high explosives are used in almost all elements of a ballistic chain, other than the detonator, such as in detonating cord and shaped charges.",Noun,Perforating,https://glossary.slb.com/en/terms/h/high_explosive
high shot density gun,"A perforating gun having more than four shots per foot. In addition to providing a greater number of perforations, a high-shot density gun also improves the phasing, or distribution of perforations, around the wellbore.",Noun,Perforating,https://glossary.slb.com/en/terms/h/high_shot_density_gun
hollow carrier gun,"A perforating gun, consisting of a loading tube and shaped charges. The shaped charges are housed inside a metal tube or pipe known as a carrier. The carrier protects the charges against well fluids.",Noun,Perforating,https://glossary.slb.com/en/terms/h/hollow_carrier_gun
big hole charge,"A perforating charge designed to create perforations with a large-diameter entrance hole. These charges typically are used in sand control completions, in which efficient placement of the gravel pack treatment within the perforation tunnel is crucial. Altering the explosive charge design and materials creates a larger diameter entrance hole on the perforation while reducing the depth of penetration. However, gravel-pack treatments generally are applied in high-permeability formations where perforation tunnel length is less important. Wells that are to be hydraulically fractured also can benefit from larger perforations since the effective penetration is significantly increased by a high-conductivity fracture.",Noun,Perforating,https://glossary.slb.com/en/terms/b/big_hole_charge
bank firing,"A technique in which several perforating guns are run on a single trip into the well, and then all are fired simultaneously.",Noun,Perforating,https://glossary.slb.com/en/terms/b/bank_firing
blast joint,"A section of heavy walled tubing that is placed across any perforated interval through which the production tubing must pass, such as may be required in multiple zone completions. In addition to being heavier than normal completion components, the wall of a blast joint is often treated to resist the jetting action that may result in the proximity of the perforations.",Noun,Perforating,https://glossary.slb.com/en/terms/b/blast_joint
bridge plug,"A downhole tool that is located and set to isolate the lower part of the wellbore. Bridge plugs may be permanent or retrievable, enabling the lower wellbore to be permanently sealed from production or temporarily isolated from a treatment conducted on an upper zone.",Noun,Perforating,https://glossary.slb.com/en/terms/b/bridge_plug
