Term,Definition,Grammatical Label,Topic,URL

FWKO,"A vertical or horizontal separator used mainly to remove any free water that can cause problems such as corrosion and formation of hydrates or tight emulsions, which are difficult to break. A free-water knockout is commonly called a three-phase separator because it can separate gas, oil and free water. The liquids that are discharged from the free-water knockout are further treated in vessels called treaters. Free-water knockout is abbreviated as FWKO.",Noun,Production Facilities,https://glossary.slb.com/en/terms/f/fwko
flare gas,A vapor or gas that is burned through a pipe or burners.,Noun,Production Facilities,https://glossary.slb.com/en/terms/f/flare_gas
FLNG,"Abbreviation for floating liquefied natural gas vessel. FLNGs are deployed offshore in locations that have limited access to pipelines to carry natural gas to the mainland. They serve to recover, liquefy, store, and transfer LNG produced from subsea wells. Processed using equipment on the ship’s deck, the natural gas may then be stored in the ship’s hull before it is offloaded to carriers and sent directly to LNG markets. These vessels reduce the need for flaring of natural gas to the atmosphere during production or testing.",Noun,Production Facilities,https://glossary.slb.com/en/terms/f/flng
flare,The burning of unwanted gas through a pipe (also called a flare). Flaring is a means of disposal used when there is no way to transport the gas to market and the operator cannot use the gas for another purpose. Flaring generally is not allowed because of the high value of gas and environmental concerns.,Noun,Production Facilities,https://glossary.slb.com/en/terms/f/flare
FPSO,"Abbreviation for floating production, storage, and offloading vessel. FPSOs are commonly deployed for offshore production in locations that have little infrastructure. They serve as gathering, processing and storage facilities for fluids produced from subsea wells. Processed using equipment on the ship’s deck, the fluids are then stored in the ship’s hull before they are offloaded to pipelines, barges, or ships. Produced natural gas may be sent to shore via pipeline or flared if no pipeline is readily available.",Noun,Production Facilities,https://glossary.slb.com/en/terms/f/fpso
free-water knockout,"A vertical or horizontal separator used mainly to remove any free water that can cause problems such as corrosion and formation of hydrates or tight emulsions, which are difficult to break. A free-water knockout is commonly called a three-phase separator because it can separate gas, oil and free water. The liquids that are discharged from the free-water knockout are further treated in vessels called treaters. Free-water knockout is abbreviated as FWKO.",Noun,Production Facilities,https://glossary.slb.com/en/terms/f/free-water_knockout
gathering lines,The pipes used to transport oil and gas from a field to the main pipeline in the area.,Noun,Production Facilities,https://glossary.slb.com/en/terms/g/gathering_lines
gathering system,"The flowline network and process facilities that transport and control the flow of oil or gas from the wells to a main storage facility, processing plant or shipping point. A gathering system includes pumps, headers, separators, emulsion treaters, tanks, regulators, compressors, dehydrators, valves and associated equipment. There are two types of gathering systems, radial and trunk line. The radial type brings all the flowlines to a central header, while the trunk-line type uses several remote headers to collect fluid. The latter is mainly used in large fields. The gathering system is also called the collecting system or gathering facility.",Noun,Production Facilities,https://glossary.slb.com/en/terms/g/gathering_system
gas processing plant,"An installation that processes natural gas to recover natural gas liquids (condensate, natural gasoline and liquefied petroleum gas) and sometimes other substances such as sulfur. A gas processing plant is also known as a natural gas processing plant.",Noun,Production Facilities,https://glossary.slb.com/en/terms/g/gas_processing_plant
gravity segregation,"The tendency of fluids to stratify into different layers because of gravity forces. In gravity segregation, the heaviest fluid settles near the bottom and the lightest fluid rises to the top. Gravity segregation occurs inside reservoirs as well as in separator facilities.",Noun,Production Facilities,https://glossary.slb.com/en/terms/g/gravity_segregation
gaswell gas,The gas produced or separated at surface conditions from the full well stream produced from a natural gas reservoir.,Noun,Production Facilities,https://glossary.slb.com/en/terms/g/gaswell_gas
