Term,Definition,Grammatical Label,Topic,URL

eddy current measurement,"A technique for measuring the effect of pits and holes in the inner wall of a casing on a high-frequency electrical signal induced in the casing. The eddy-current measurement is used in conjunction with a flux-leakage measurement to determine casing corrosion, the latter being sensitive to the defects on both the inner and outer walls. The principle of measurement is similar to the openhole induction log, but at higher frequencies. A transmitter coil produces a magnetic field that induces eddy currents in the casing wall. These currents generate their own magnetic field that induces a signal in two closely spaced receiver coils. In smooth casing, these signals are the same, but if the inner wall is pitted, the signals are different. Transmitter-receiver combinations are placed on multiple pads applied against the casing at several azimuths to fully cover the casing wall.",Noun,Production Logging,https://glossary.slb.com/en/terms/e/eddy_current_measurement
electric probe,"A small sensor in a production logging tool that distinguishes between hydrocarbon and water in its vicinity as it is moved up and down a production well. The electric probe was the first type of local probe to be introduced, appearing initially in the early 1990s. Electric probes measure the local and average holdup of water and give an image of the flow structure across the well. Most electric probes emit a high-frequency current and measure the amplitude of the signal, and hence the impedance, of the fluid in a small sphere near the probe. The output is designed to be digital, indicating conductance when the probe is in front of water, and no conductance when it is in front of hydrocarbon. The water must have a certain minimum salinity, below which the device will not work.",Noun,Production Logging,https://glossary.slb.com/en/terms/e/electric_probe
emulsion flow,"A multiphase-flow regime with oil as the continuous phase, in which water exists as small, approximately homogeneously distributed droplets. There may also be a thin film of water on the pipe wall.",Noun,Production Logging,https://glossary.slb.com/en/terms/e/emulsion_flow
electromagnetic caliper,"An in-situ measurement of the inside diameter of a casing or tubing using an electromagnetic technique. As with the electromagnetic thickness measurement, and usually measured at the same time, a coil centered inside the casing generates an alternating magnetic field. Another coil farther up the tool measures the phase shift introduced by the casing. At high frequency, the signal penetrates less than a tenth of a millimeter into the casing, and the phase shift can be related to the casing internal diameter. Unlike a mechanical or ultrasonic caliper, the measurement does not respond to nonmagnetic scale. For the purpose of determining the true internal diameter, this is a disadvantage, but for the purpose of determining corrosion, it is an advantage.",Noun,Production Logging,https://glossary.slb.com/en/terms/e/electromagnetic_caliper
electrical impedance probe,"Another term for electric probe, a small sensor in a production logging tool that distinguishes between hydrocarbon and water in its vicinity as it is moved up and down a production well. The electric probe was the first type of local probe to be introduced, appearing initially in the early 1990s. Electric probes measure the local and average holdup of water and give an image of the flow structure across the well. Most electric probes emit a high-frequency current and measure the amplitude of the signal, and hence the impedance, of the fluid in a small sphere near the probe. The output is designed to be digital, indicating conductance when the probe is in front of water, and no conductance when it is in front of hydrocarbon. The water must have a certain minimum salinity, below which the device will not work.",Noun,Production Logging,https://glossary.slb.com/en/terms/e/electrical_impedance_probe
flow-concentrating,Referring to a type of spinner flowmeter in which most or all of the fluid flow in the well is diverted over the spinner by a device such as a basket or a packer.,Adjective,Production Logging,https://glossary.slb.com/en/terms/f/flow-concentrating
flowing neutron log,A neutron porosity log recorded while the well is flowing to determine the gas-oil contact in the borehole. The log is often compared with a log run while the well is shut-in. The term was used in the1950s and 1960s but is now obsolete.,Noun,Production Logging,https://glossary.slb.com/en/terms/f/flowing_neutron_log
friction effect,"In a gradiomanometer tool or pressure derivative calculation, the apparent increased fluid density observed due to frictional pressure losses along the tool and casing in a fast-flowing fluid. The magnitude of the correction depends on the flow rate, tool geometry and the casing size, and is negligible in most casings below about 2000 B/D [318 m3/d]. The fluid density will appear erroneously high unless this effect is corrected for.",Noun,Production Logging,https://glossary.slb.com/en/terms/f/friction_effect
froth flow,"A multiphase flow regime in near-vertical pipes in which large, irregular slugs of gas move up the center of the pipe, usually carrying droplets of oil or water with them. Most of the remaining oil or water flows up along the pipe walls. The flow is relatively chaotic, producing a frothy mixture. Unlike slug flow, neither phase is continuous. The gas slugs are relatively unstable, and take on large, elongated shapes. Also known as transition flow, this flow is an intermediate flow condition between slug flow and mist flow, and occurs at relatively high gas velocity. As the gas velocity increases, it changes into annular flow.",Noun,Production Logging,https://glossary.slb.com/en/terms/f/froth_flow
FPSO,"Abbreviation for floating production, storage, and offloading vessel. FPSOs are commonly deployed for offshore production in locations that have little infrastructure. They serve as gathering, processing and storage facilities for fluids produced from subsea wells. Processed using equipment on the ship’s deck, the fluids are then stored in the ship’s hull before they are offloaded to pipelines, barges, or ships. Produced natural gas may be sent to shore via pipeline or flared if no pipeline is readily available.",Noun,Production Logging,https://glossary.slb.com/en/terms/f/fpso
fullbore spinner,"A type of flowmeter in which the spinner blades are collapsed to pass through the tubing and other restrictions, and then opened up below to sense the full cross section of the casing or openhole. In this way, a much larger fraction of the flow is measured. Introduced in the 1970s, the fullbore spinner gives a better average flow velocity than a conventional flowmeter, particularly at low flow rates and with simple biphasic-flow regimes. However, when the flow structure is complex, such as with multiphase flow in highly deviated wells, the average flow velocity may not be meaningful.",Noun,Production Logging,https://glossary.slb.com/en/terms/f/fullbore_spinner
flowmeter,A device installed in a pump manifold or treating line to measure the fluid flow rate. Flowmeters can be used to measure the flow rates of liquid or gas and are available in various configurations and with differing operating principles.,Noun,Well Workover and Intervention,https://glossary.slb.com/en/terms/f/flowmeter
flow loop,"A laboratory instrument for investigating the characteristics of fluid flow in pipes and for studying the response of production logging instruments to this flow. The fluids are circulated continuously in a loop, passing through one main measurement section that can be placed at different deviations from vertical through horizontal. Fluid properties, holdups and velocities can all be varied. Flow loops are essential for the study of multiphase flow and the development of new production logging measurements.",Noun,Production Logging,https://glossary.slb.com/en/terms/f/flow_loop
fluid-density log,"A record of the density, or changes in density, of fluids in a production or injection well. Since gas, oil and water all have different densities, the log can determine the percentage, or holdup, of the different fluids, directly in the case of biphasic flow, and in combination with other measurements for triphasic flow. Fluid density is measured by a gradiomanometer or a nuclear fluid densimeter, and can also be derived from the depth derivative of a pressure sensor.",Noun,Production Logging,https://glossary.slb.com/en/terms/f/fluid-density_log
flow meter,A device installed in a pump manifold or treating line to measure the fluid flow rate. Flowmeters can be used to measure the flow rates of liquid or gas and are available in various configurations and with differing operating principles.,Noun,Well Workover and Intervention,https://glossary.slb.com/en/terms/f/flow_meter
fluid-interface log,"An in-situ measurement of the flow profile made by pumping different fluids down the tubing and casing and observing the interface between them. The fluids are normally both water, but one may be fresh and the other salty, or else one may contain some tracer, so that the interface can be detected by a production-logging tool. After the tubing is run to the bottom of the well, an interface is introduced by one of two methods. In the static method, the total flow rate is held constant and the relative flow rate of the two streams is changed. The location of the interface after each change is used to determine the flow profile. In the dynamic method, one fluid is pumped at different rates. The log was used in the 1950s and 1960s but is now used rarely, having been replaced by fluid-density logs and others.",Noun,Production Logging,https://glossary.slb.com/en/terms/f/fluid-interface_log
flow profile,"A recording of the in-situ rate of fluid flow at different depths in a well, normally one completed for production or injection. The flow profile is a log recorded in a unit such as barrels per day, or as a percentage of the total flow from the reservoir in a production well or into the reservoir in an injection well. In single-phase flow, the profile can be determined from a flowmeter. In multiphase flow, it is desirable to show the flow rates of each of the phases, in which case a holdup log and either a flowmeter or a phase velocity log are needed.",Noun,Production Logging,https://glossary.slb.com/en/terms/f/flow_profile
fluid interface log,"An in-situ measurement of the flow profile made by pumping different fluids down the tubing and casing and observing the interface between them. The fluids are normally both water, but one may be fresh and the other salty, or else one may contain some tracer, so that the interface can be detected by a production-logging tool. After the tubing is run to the bottom of the well, an interface is introduced by one of two methods. In the static method, the total flow rate is held constant and the relative flow rate of the two streams is changed. The location of the interface after each change is used to determine the flow profile. In the dynamic method, one fluid is pumped at different rates. The log was used in the 1950s and 1960s but is now used rarely, having been replaced by fluid-density logs and others.",Noun,Production Logging,https://glossary.slb.com/en/terms/f/fluid_interface_log
flow structure,"A description of the geometrical distribution of a fluid moving through a pipe. The term is similar to the term flow regime, but is used to describe larger scale features in which there may be more than one flow regime. For example, in a deviated well there may be bubble flow of gas in oil in the uppermost part of the pipe, and water only in the lowest part.",Noun,Production Logging,https://glossary.slb.com/en/terms/f/flow_structure
flow concentrating,Referring to a type of spinner flowmeter in which most or all of the fluid flow in the well is diverted over the spinner by a device such as a basket or a packer.,Adjective,Production Logging,https://glossary.slb.com/en/terms/f/flow_concentrating
flow regime,"The predominant flow geometry reflected in a pressure-transient response that is most easily recognized in the log-log presentation of the pressure-change derivative. The most easily recognized flow regime is radial flow, which produces a constant or flat derivative. Spherical flow, which may result from a limited-entry completion, has a characteristic -1/2 slope in the derivative. Wellbore storage starts as a unit slope in pressure change and then the derivative bends over in a characteristic hump shape. Linear flow produced by flow to a fracture or a long horizontal well has a derivative slope of +1/2. Bilinear flow results when the fracture has finite conductivity and has a derivative slope of +1/4.",Noun,Well Testing,https://glossary.slb.com/en/terms/f/flow_regime
