Term,Definition,Grammatical Label,Topic,URL

fitting,"Any device used for connecting elements in fluid lines, including elbows, tees, nipples, unions and flanges.",Noun,Production,https://glossary.slb.com/en/terms/f/fitting
"flow coefficient, Cv","The number of gallons of water per minute that will flow through a valve with a pressure drop of 1 psi, abbreviated Cv. Kv is the cubic meters of water per hour that cause a pressure drop of 1 bar.",Noun,Production,https://glossary.slb.com/en/terms/f/flow-coefficient-cv
flange,A connection profile used in pipe work and associated equipment to provide a means of assembling and disassembling components. Most oilfield flanges feature a bolt-hole pattern to allow the joint to be secured and a gasket profile to ensure a pressure-tight seal. The design and specification of a flange relates to the size and pressure capacity of the equipment to which it is fitted.,Noun,Well Completions,https://glossary.slb.com/en/terms/f/flange
gate valve,A type of valve that incorporates a sliding gate to block fluid flow. The design of the valve operating and sealing systems typically requires that gate valves should be operated either fully open or fully closed.,Noun,Well Completions,https://glossary.slb.com/en/terms/g/gate_valve
gas volume fraction (GVF),The ratio of the gas volumetric flow rate to the total volumetric flow rate of all fluids.,Noun,Production,https://glossary.slb.com/en/terms/g/gas-volume-fraction-gvf
gas/oil ratio (GOR),"The ratio of produced gas to produced oil, commonly abbreviated GOR.",Noun,Production,https://glossary.slb.com/en/terms/g/gas-oil-ratio
gland bushing,"A valve part that retains or compresses the stem packing in a stuffing box (where used) or retains a stem O-ring, lip seal or stem O-ring bushing.",Noun,Production,https://glossary.slb.com/en/terms/g/gland-bushing
globe valve,A valve whose closure element is a flat disc or conical plug sealing on a seat that is usually parallel to the flow axis. The tortuous flow path produces a relatively high pressure loss.,Noun,Production,https://glossary.slb.com/en/terms/g/globe-valve
gas/liquid ratio (GLR),"The ratio of produced gas volume to total produced liquids (oil and water) volume, often abbreviated GLR.",Noun,Production,https://glossary.slb.com/en/terms/g/gas-liquid-ratio
galling,The tearing of metal when two elements rub against each other. Usually caused by lack of lubrication or extreme contact pressure.,Noun,Production,https://glossary.slb.com/en/terms/g/galling
greenfield,A new oil and gas field development.,Noun,Production,https://glossary.slb.com/en/terms/g/greenfield
HPU,"A device used in a hydraulic system to store energy or, in some applications, dampen pressure fluctuations. Energy is stored by compressing a precharged gas bladder with hydraulic fluid from the operating or charging system. Depending on the fluid volume and precharge pressure of the accumulator, a limited amount of hydraulic energy is then available independent of any other power source. Well pressure-control systems typically incorporate sufficient accumulator capacity to enable the blowout preventer to be operated with all other power shut down.",Noun,Production,https://glossary.slb.com/en/terms/h/hpu
hangoff,A means of supporting the weight of a cable or other connection.,Noun,Production,https://glossary.slb.com/en/terms/h/hangoff
hardfacing,"A metalworking process where harder or tougher material is applied to a weaker base metal. A surface preparation, such as detonation gun or high-velocity oxygen flow, in which an alloy is deposited on a metal surface, usually by weld overlay, to increase abrasion or corrosion resistance.",Noun,Production,https://glossary.slb.com/en/terms/h/hardfacing
hydraulic power unit,"A device used in a hydraulic system to store energy or, in some applications, dampen pressure fluctuations. Energy is stored by compressing a precharged gas bladder with hydraulic fluid from the operating or charging system. Depending on the fluid volume and precharge pressure of the accumulator, a limited amount of hydraulic energy is then available independent of any other power source. Well pressure-control systems typically incorporate sufficient accumulator capacity to enable the blowout preventer to be operated with all other power shut down.",Noun,Production,https://glossary.slb.com/en/terms/h/hydraulic_power_unit
bevel-gear-operated (BGO) valve,A gate valve actuated by means of a set of bevel gears having the axis of the pinion gear at right angles to that of the larger ring gear. The reduction ratio of this gear set determines the multiplication of torque achieved.,Noun,Production,https://glossary.slb.com/en/terms/b/bevel-gear-operated-valve
ball valve,A valve using a spherical closure element (ball) which is rotated through 90° to open and close the valve.,Noun,Production,https://glossary.slb.com/en/terms/b/ball-valve
bubble-tight shutoff,"A phrase describing the sealing ability of a valve. During air pressure testing of a new valve in the closed position, leakage past the seats is collected and bubbled through water. To qualify as bubble-tight, no bubbles should be observed in a prescribed time span.",Noun,Production,https://glossary.slb.com/en/terms/b/bubble-tight-shutoff
butterfly valve,"A short face-to-face valve that has a movable vane in the center of the flow stream, which rotates 90° as the butterfly valve opens and closes.",Noun,Production,https://glossary.slb.com/en/terms/b/butterfly-valve
bypass,"The act of passing the mud around a piece of equipment, such as passing mud returns around the shale shaker screens or going around a hydrocyclone device. From a mud-engineering viewpoint, this can be a bad practice because it can allow drill solids to degrade and accumulate as fines to the degree that they might cause mud problems.",Verb,Drilling Fluids,https://glossary.slb.com/en/terms/b/bypass
body relief valve (BRV),An optional relief valve installed on ball valves used in liquid service to provide for the relief of excess body pressure caused by thermal expansion.,Noun,Production,https://glossary.slb.com/en/terms/b/body-relief-valve
