Term,Definition,Grammatical Label,Topic,URL

effective medium theory,"A method for determining the effective properties of random fields, commonly abbreviated EMT. Originally developed to estimate transport coefficients, this theory is based on the idea of replacing the inhomogeneous medium by an equivalent homogenous medium such that the fluctuations induced by restoring the heterogeneity average to zero. EMT is used to upscale parameters such as permeability for use in coarse-grained reservoir simulation studies. This use is controversial in reservoirs that are not homogeneous.",Noun,Reservoir Characterization,https://glossary.slb.com/en/terms/e/effective_medium_theory
fitted variogram,A variogram or semivariogram is said to have been fitted after the best possible model has been applied to it.,Noun,Reservoir Characterization,https://glossary.slb.com/en/terms/f/fitted_variogram
flooding surface,"A surface exhibiting evidence of an abrupt increase in water depth, separating younger from older strata. The surface may also display evidence of minor submarine erosion. It forms in response to an increase in water depth and typically bounds parasequences. In sequence stratigraphic terminology, it replaces the older, more generic term ""trangressive surface,"" although it is not a strict equivalent.",Noun,Reservoir Characterization,https://glossary.slb.com/en/terms/f/flooding_surface
filters,"Devices for selecting or excluding data from a data stream or dataset. These devices may be physical (for example to tune an electrical circuit to a particular frequency) or a mathematical algorithm. Mathematical filters take many forms, some of which are used in oilfield data analysis and interpretation. Examples include statistical techniques, geostatistical techniques, clustering, conditional algorithm, etc. A simple example of a conditional algorithm might include using a caliper to determine whether a borehole was rugose, thus requiring special log interpretation through the rugose interval.",Noun,Reservoir Characterization,https://glossary.slb.com/en/terms/f/filters
fractal networks,Networks that are described using the mathematics of fractals. These are useful for describing certain types of fracture systems.,Noun,Reservoir Characterization,https://glossary.slb.com/en/terms/f/fractal_networks
fractal,"A special mathematical geometry with properties that reproduce a pattern over a range of scales. They can contain some variations so that the patterns do not perfectly repeat. This geometry claims to represent many natural systems, including plant growth, geological deposition, coastlines and other geographical shapes. Fractal geometry has also led to the recent study of ""Chaos Theory."" This technology is sometimes used in geostatistical studies.",Noun,Reservoir Characterization,https://glossary.slb.com/en/terms/f/fractal
fractal analysis,Analysis of a geometrical system using fractal mathematics. This analysis is sometimes used in geostatistics to describe depositional systems and other geological phenomena.,Noun,Reservoir Characterization,https://glossary.slb.com/en/terms/f/fractal_analysis
facies,"The overall characteristics of a rock unit that reflect its origin and differentiate the unit from others around it. Mineralogy and sedimentary source, fossil content, sedimentary structures and texture distinguish one facies from another.",Noun,Geology,https://glossary.slb.com/en/terms/f/facies
facies modeling,"The act of modeling a reservoir using knowledge of the facies that make up the reservoir and the depositional environments that the facies represent. The depositional characteristics will suggest rules concerning the geometries of the facies and the possible relationships between facies, especially where the facies have been related to each other within a stratigraphic sequence or a cyclothem. Facies modeling is often an important component of geostatistical reservoir characterization and facilitates construction of superior reservoir models for complex reservoirs.",Noun,Reservoir Characterization,https://glossary.slb.com/en/terms/f/facies_modeling
