Term,Definition,Grammatical Label,Topic,URL

frac fluid,"An abbreviation for fracturing fluid, a fluid injected into a well as part of a stimulation operation. Fracturing fluids for shale reservoirs usually contain water, proppant, and a small amount of nonaqueous fluids designed to reduce friction pressure while pumping the fluid into the wellbore. These fluids typically include gels, friction reducers, crosslinkers, breakers and surfactants similar to household cosmetics and cleaning products; these additives are selected for their capability to improve the results of the stimulation operation and the productivity of the well.",Noun,Shale Gas,https://glossary.slb.com/en/terms/f/frac_fluid
frac head,A flow cross installed on top of a frac tree where treating iron is connected and treatment fluid enters the frac tree.,Noun,Shale Gas,https://glossary.slb.com/en/terms/f/frac_head
fracture,"A crack or surface of breakage within rock not related to foliation or cleavage in metamorphic rock along which there has been no movement. A fracture along which there has been displacement is a fault. When walls of a fracture have moved only normal to each other, the fracture is called a joint. Fractures can enhance permeability of rocks greatly by connecting pores together, and for that reason, fractures are induced mechanically in some reservoirs in order to boost hydrocarbon flow. Fractures may also be referred to as natural fractures to distinguish them from fractures induced as part of a reservoir stimulation or drilling operation. In some shale reservoirs, natural fractures improve production by enhancing effective permeability. In other cases, natural fractures can complicate reservoir stimulation.",Noun,Shale Gas,https://glossary.slb.com/en/terms/f/fracture
frac stack,"A Christmas tree installed specifically for the fracturing process. A frac stack typically consists of upper and lower master valves, flow cross, wing valves, goat head, and swab valve. Frac stacks generally have larger bores and higher pressure ratings than production trees to accommodate the high flow rates and pressures necessary for hydraulic fracturing.",Noun,Shale Gas,https://glossary.slb.com/en/terms/f/frac_stack
fracture permeability,"That portion of a dual-porosity reservoirs permeability that is associated with the secondary porosity created by open, natural fractures. In many of these reservoirs, fracture permeability can be the major controlling factor of the flow of fluids.",Noun,Shale Gas,https://glossary.slb.com/en/terms/f/fracture_permeability
fracturing pressure, Pressure above which injection of fluids will cause the rock formation to fracture hydraulically.,Noun,Shale Gas,https://glossary.slb.com/en/terms/f/fracturing_pressure
frac tree,"A Christmas tree installed specifically for the fracturing process. A frac tree typically consists of upper and lower master valves, flow cross, wing valves, goat head, and swab valve. Frac trees generally have larger bores and higher pressure ratings than production trees to accommodate the high flow rates and pressures necessary for hydraulic fracturing.",Noun,Shale Gas,https://glossary.slb.com/en/terms/f/frac_tree
frac job,"Another term for hydraulic fracturing, a stimulation treatment routinely performed on oil and gas wells in low-permeability reservoirs. Specially engineered fluids are pumped at high pressure and rate into the reservoir interval to be treated, causing a vertical fracture to open. The wings of the fracture extend away from the wellbore in opposing directions according to the natural stresses within the formation. Proppant, such as grains of sand of a particular size, is mixed with the treatment fluid to keep the fracture open when the treatment is complete. Hydraulic fracturing creates high-conductivity communication with a large area of formation and bypasses any damage that may exist in the near-wellbore area.",Noun,Shale Gas,https://glossary.slb.com/en/terms/f/frac_job
fracturing fluid,"A fluid injected into a well as part of a stimulation operation. Fracturing fluids for shale reservoirs usually contain water, proppant, and a small amount of nonaqueous fluids designed to reduce friction pressure while pumping the fluid into the wellbore. These fluids typically include gels, friction reducers, crosslinkers, breakers and surfactants similar to household cosmetics and cleaning products; these additives are selected for their capability to improve the results of the stimulation operation and the productivity of the well.",Noun,Shale Gas,https://glossary.slb.com/en/terms/f/fracturing_fluid
free gas,The gaseous phase present in a reservoir or other contained area. Gas may be found either dissolved in reservoir fluids or as free gas that tends to form a gas cap beneath the top seal on the reservoir trap. Both free gas and dissolved gas play important roles in the reservoir-drive mechanism.,Noun,Shale Gas,https://glossary.slb.com/en/terms/f/free_gas
formation evaluation while drilling,"Also known as logging while drilling or LWD, the measurement of formation properties during the excavation of the hole, or shortly thereafter, through the use of tools integrated into the bottomhole assembly. LWD, while sometimes risky and expensive, has the advantage of measuring properties of a formation before drilling fluids invade deeply. Further, many wellbores prove to be difficult or even impossible to measure with conventional wireline tools, especially highly deviated wells. In these situations, the LWD measurement ensures that some measurement of the subsurface is captured in the event that wireline operations are not possible. Timely LWD data can also be used to guide well placement so that the wellbore remains within the zone of interest or in the most productive portion of a reservoir, such as in highly variable shale reservoirs.",Noun,Shale Gas,https://glossary.slb.com/en/terms/f/formation_evaluation_while_drilling
formation evaluation,"The measurement and analysis of formation and fluid properties through examination of formation cuttings or through the use of tools integrated into the bottomhole assembly while drilling, or conveyed on wireline or drillpipe after a borehole has been drilled. Formation evaluation is performed to assess the quantity and producibility of fluids from a reservoir. Formation evaluation guides wellsite decisions, such as placement of perforations and hydraulic fracture stages, and reservoir development and production planning.",Noun,Shale Gas,https://glossary.slb.com/en/terms/f/formation_evaluation
formation fracture pressure,Pressure above which injection of fluids will cause the rock formation to fracture hydraulically.,Noun,Shale Gas,https://glossary.slb.com/en/terms/f/formation_fracture_pressure
gas shale,Shale that produces natural gas. A shale that is thermally mature enough and has sufficient gas content to produce economic quantities of natural gas.,Noun,Shale Gas,https://glossary.slb.com/en/terms/g/gas_shale
geomechanics,"The geologic specialty that deals with understanding how rocks, stresses, pressures, and temperatures interact. This understanding is used to solve oilfield problems, such as optimizing hydraulic fracturing treatments of shale reservoirs. Geomechanics specialists typically work with experts in geophysics, geology, petrophysics, reservoir engineering, drilling engineering, and rock physics to solve geomechanical problems and address production challenges in shale reservoirs.",Noun,Shale Gas,https://glossary.slb.com/en/terms/g/geomechanics
goat head,A flow cross installed on top of a frac tree where treating iron is connected and treatment fluid enters the frac tree.,Noun,Shale Gas,https://glossary.slb.com/en/terms/g/goat_head
GIIP,"Abbreviation for gas initially in place, the volume of gas in a reservoir before production.",Noun,Shale Gas,https://glossary.slb.com/en/terms/g/giip
high-pressure manifold,"Flow control unit used in the pressurization of fluid employed in hydraulic fracturing. Fracturing fluid enters the missile at low pressure and is directed to the pump trucks for pressurization. High-pressure fluid returns to the missile and is directed to the well or, in the case of a multiwell pad, to a frac manifold.",Noun,Shale Gas,https://glossary.slb.com/en/terms/h/high-pressure_manifold
hydraulic fracturing,"A stimulation treatment routinely performed on oil and gas wells in low-permeability reservoirs. Specially engineered fluids are pumped at high pressure and rate into the reservoir interval to be treated, causing a vertical fracture to open. The wings of the fracture extend away from the wellbore in opposing directions according to the natural stresses within the formation. Proppant, such as grains of sand of a particular size, is mixed with the treatment fluid to keep the fracture open when the treatment is complete. Hydraulic fracturing creates high-conductivity communication with a large area of formation and bypasses any damage that may exist in the near-wellbore area.",Noun,Shale Gas,https://glossary.slb.com/en/terms/h/hydraulic_fracturing
horizontal drilling,"A subset of the more general term ""directional drilling,"" used where the departure of the wellbore from vertical exceeds about 80°. Note that some horizontal wells are designed such that after reaching true 90° horizontal, the wellbore may actually start drilling upward. In such cases, the angle past 90° is continued, as in 95°, rather than reporting it as deviation from vertical, which would then be 85°. Because a horizontal well typically penetrates a greater length of the reservoir, it can offer significant production improvement over a vertical well.",Noun,Drilling,https://glossary.slb.com/en/terms/h/horizontal_drilling
heterogeneous,"Possessing the quality of variation in rock properties with location in a reservoir or formation. Shale gas reservoirs are heterogeneous formations whose mineralogy, organic content, natural fractures, and other properties vary from place to place. This heterogeneity makes petroleum system modeling, formation evaluation, and reservoir simulation critical to maximizing production from shale reservoirs.",Adjective,Shale Gas,https://glossary.slb.com/en/terms/h/heterogeneous
heterogeneity,"The quality of variation in rock properties with location in a reservoir or formation. Shale gas reservoirs are heterogeneous formations whose mineralogy, organic content, natural fractures, and other properties vary from place to place. This heterogeneity makes petroleum system modeling, formation evaluation, and reservoir simulation critical to maximizing production from shale reservoirs.",Noun,Shale Gas,https://glossary.slb.com/en/terms/h/heterogeneity
hydraulic fracture monitoring,"A technique to track the propagation of a hydraulic fracture as it advances through a formation. Microseisms are detected, located, and displayed in time for scientists and engineers to approximate the location and propagation of the hydraulic fracture. Software provides modeling, survey design, microseismic detection and location, uncertainty analysis, data integration, and visualization for interpretation. Computer imagery is used to monitor the activity in 3D space relative to the location of the fracturing treatment. The monitored activities are animated to show progressive fracture growth and the subsurface response to pumping variations. When displayed in real time, the microseismic activity allows one to make changes to the stimulation design to ensure optimal reservoir contact. Also known as microseismic monitoring, this technique delivers information about the effectiveness of the stimulation of a reservoir that can be used to enhance reservoir development in shale gas completions.",Noun,Shale Gas,https://glossary.slb.com/en/terms/h/hydraulic_fracture_monitoring
bitumen,"Naturally occurring, inflammable organic matter formed from kerogen in the process of petroleum generation that is soluble in carbon bisulfide. Bitumen includes hydrocarbons such as asphalt and mineral wax. Typically solid or nearly so, brown or black, bitumen has a distinctive petroliferous odor. Laboratory dissolution with organic solvents allows determination of the amount of bitumen in samples, an assessment of source rock richness.",Noun,Geology,https://glossary.slb.com/en/terms/b/bitumen
basin,"A depression in the crust of the Earth, caused by plate tectonic activity and subsidence, in which sediments accumulate. Sedimentary basins vary from bowl-shaped to elongated troughs. Basins can be bounded by faults. Rift basins are commonly symmetrical; basins along continental margins tend to be asymmetrical. If rich hydrocarbon source rocks occur in combination with appropriate depth and duration of burial, then a petroleum system can develop within the basin. Most basins contain some amount of shale, thus providing opportunities for shale gas exploration and production.",Noun,Shale Gas,https://glossary.slb.com/en/terms/b/basin
buffalo head,A flow cross installed on top of a frac tree where treating iron is connected and treatment fluid enters the frac tree.,Noun,Shale Gas,https://glossary.slb.com/en/terms/b/buffalo_head
continuous reservoir,"A type of areally extensive reservoir that contains hydrocarbon throughout, rather than containing a water contact or being significantly affected by a water column or a defined structural closure. The areal extent of a continuous reservoir, such as a shale reservoir, can be as large as the extent of the sedimentary basin in which the shale was deposited.",Noun,Shale Gas,https://glossary.slb.com/en/terms/c/continuous_reservoir
catagenesis,"The physical and chemical alteration of sediments and pore fluids at temperatures and pressures higher than those of diagenesis. Catagenesis involves heating in the range of 50 to 150 degC [122 to 302 degF]. At these temperatures, chemical bonds break down in kerogen and clays within shale, generating liquid hydrocarbons. At the high end of this temperature range, secondary cracking of oil molecules can generate gas molecules.",Noun,Shale Gas,https://glossary.slb.com/en/terms/c/catagenesis
conventional reservoir,"A reservoir in which buoyant forces keep hydrocarbons in place below a sealing caprock. Reservoir and fluid characteristics of conventional reservoirs typically permit oil or natural gas to flow readily into wellbores. The term is used to make a distinction from shale and other unconventional reservoirs, in which gas might be distributed throughout the reservoir at the basin scale, and in which buoyant forces or the influence of a water column on the location of hydrocarbons within the reservoir are not significant.",Noun,Shale Gas,https://glossary.slb.com/en/terms/c/conventional_reservoir
core analysis,"Laboratory study of a sample of a geologic formation, usually reservoir rock, taken during or after drilling a well. Economic and efficient oil and gas production is highly dependent on understanding key properties of reservoir rock, such as porosity, permeability, and wettability. Geoscientists have developed a variety of approaches, including log and core analysis techniques, to measure these properties. Core analysis is especially important in shale reservoirs because of the vertical and lateral heterogeneity of the rocks. Core analysis can include evaluation of rock properties and anisotropy; organic matter content, maturity, and type; fluid content; fluid sensitivity; and geomechanical properties. This information can be used to calibrate log and seismic measurements and to help in well and completion design, well placement, and other aspects of reservoir production.",Noun,Shale Gas,https://glossary.slb.com/en/terms/c/core_analysis
cumulative production,"The total amount of oil and gas recovered from a reservoir as of a particular time in the life of the field. Cumulative production can be referenced to a well, a field, or a basin.",Noun,Shale Gas,https://glossary.slb.com/en/terms/c/cumulative_production
command trailer,A trailer in which fracturing engineers can monitor formation pressures and other critical information pertaining to the fracturing process.,Noun,Shale Gas,https://glossary.slb.com/en/terms/c/command_trailer
composite frac tree,A frac tree in which multiple frac valves are contained in a single large body such that the overall height of the frac tree is reduced.,Noun,Shale Gas,https://glossary.slb.com/en/terms/c/composite_frac_tree
completion quality (CQ),"A prediction of how effectively rock may be stimulated using hydraulic fracturing. Completion quality (CQ) is an engineering assessment of factors that determine the effectiveness of hydraulic fracture treatments and includes the ability to initiate and create an induced fracture network, the degree of reservoir contact of the newly created fractures, the level of connection to the natural fracture system of those created fractures and ability of the stimulated reservoir to deliver gas or oil into the well.",Noun,Shale Gas,https://glossary.slb.com/en/terms/c/completion-quality-cq
