Term,Definition,Grammatical Label,Topic,URL

packer,"A device that can be run into a wellbore with a smaller initial outside diameter that then expands externally to seal the wellbore. Packers employ flexible, elastomeric elements that expand. The two most common forms are the production or test packer and the inflatable packer. The expansion of the former may be accomplished by squeezing the elastomeric elements (somewhat doughnut shaped) between two plates, forcing the sides to bulge outward. The expansion of the latter is accomplished by pumping a fluid into a bladder, in much the same fashion as a balloon, but having more robust construction. Production or test packers may be set in cased holes and inflatable packers are used in open or cased holes. They may be run on wireline, pipe or coiled tubing. Some packers are designed to be removable, while others are permanent. Permanent packers are constructed of materials that are easy to drill or mill out.",Noun,Drilling,https://glossary.slb.com/en/terms/p/packer
Christmas tree,"The set of valves, spools, and fittings connected to the top of a well to direct and control the flow of formation fluids from the well.",Noun,Drilling,https://glossary.slb.com/en/terms/c/christmas_tree
expansion joint,A device or completion component designed to enable relative movement between two fixed assemblies in the event of thermal expansion or contraction. The forces generated by thermal expansion or contraction can be significant. Expansion joints within the completion assembly prevent any movement or forces being transmitted to fixed components such as packers or tubing hangers.,Noun,Well Completions,https://glossary.slb.com/en/terms/e/expansion_joint
expendable plug,"A temporary plug, inserted in the completion assembly before it is run, to enable pressure testing of the completed string. With the operation complete, the expendable plug can be pumped out of the assembly, thereby avoiding a separate retrieval run.",Noun,Well Completions,https://glossary.slb.com/en/terms/e/expendable_plug
equalizing valve,"A device that is operated to equalize the pressure across a valve, plug or similar pressure or fluid isolation barrier. The operating mechanism on many pressure-sealing devices is rendered inoperable once the mechanism has been activated by pressure. In such cases, the pressure across the pressure barrier must be equalized before the barrier can be removed.",Noun,Well Completions,https://glossary.slb.com/en/terms/e/equalizing_valve
external pulling tool,A downhole tool used to pull or retrieve temporary plugs or similar equipment. The external pulling tool engages on the external surfaces of the item to be retrieved.,Noun,Well Completions,https://glossary.slb.com/en/terms/e/external_pulling_tool
electric submersible pump,"An artificial-lift system that utilizes a downhole pumping system that is electrically driven. The pump typically comprises several staged centrifugal pump sections that can be specifically configured to suit the production and wellbore characteristics of a given application. Electrical submersible pump systems are a common artificial-lift method, providing flexibility over a range of sizes and output flow capacities.",Noun,Well Completions,https://glossary.slb.com/en/terms/e/electric_submersible_pump
external upset,A type of tubing connection in which the external diameter of the tubing joint is larger adjacent to the tubing connection to provide the necessary strength. The internal tubing surface is flush to enable good fluid-flow characteristics.,Noun,Well Completions,https://glossary.slb.com/en/terms/e/external_upset
flag joint,A joint of tubing or casing included in the string at a known position to provide a reference point for further operations. A short pup joint that registers clearly in a collar locator log is a common flag joint.,Noun,Well Completions,https://glossary.slb.com/en/terms/f/flag_joint
