Term,Definition,Grammatical Label,Topic,URL

wireline,Related to any aspect of logging that employs an electrical cable to lower tools into the borehole and to transmit data. Wireline logging is distinct from measurements-while-drilling (MWD) and mud logging.,Adjective,Formation Evaluation,https://glossary.slb.com/en/terms/w/wireline
equalizing loop,"The high-pressure piping and valves configured around the stripping rams of a snubbing unit. The equalizing loop enables the wellhead pressure to be applied on both sides of the rams when closed, a process required before the rams can be opened.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/e/equalizing_loop
equalizing valve,"A device that is operated to equalize the pressure across a valve, plug or similar pressure or fluid isolation barrier. The operating mechanism on many pressure-sealing devices is rendered inoperable once the mechanism has been activated by pressure. In such cases, the pressure across the pressure barrier must be equalized before the barrier can be removed.",Noun,Well Completions,https://glossary.slb.com/en/terms/e/equalizing_valve
electrical coupon,"An instrument used in a corrosion test to determine metal loss. It directly measures the increase in resistance of a metal as its cross-sectional area is reduced by corrosion. At suitable times, once the readings are obtained, these numbers are converted into corrosion rates (mpy). An electrical coupon is also called an electrical resistance probe.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/e/electrical_coupon
fishing,"The application of tools, equipment and techniques for the removal of junk, debris or fish from a wellbore. The key elements of a fishing operation include an understanding of the dimensions and nature of the fish to be removed, the wellbore conditions, the tools and techniques employed and the process by which the recovered fish will be handled at surface.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/fishing
flag,A mark or marker applied to a sand line or similar wire rope to indicate a specific depth or as a means of indicating the end of the line is nearing surface during retrieval. The term may also be used for magnetic or physical marks applied to wireline or coiled tubing strings.,Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/flag
fishing diagram,"A diagram noting the major profiles and dimensions of tools and equipment run into a wellbore. A fishing diagram should be prepared for every tool operation, enabling contingency plans to be implemented efficiently if the tool string becomes stuck or lost.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/fishing_diagram
fishing neck,"The surface on which a fishing tool engages when retrieving tubing, tools or equipment stuck or lost in a wellbore. Tools and equipment that are temporarily installed in a wellbore are generally equipped with a specific fishing-neck profile to enable the running and retrieval tools to reliably engage and release.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/fishing_neck
flowback,"The process of allowing fluids to flow from the well following a treatment, either in preparation for a subsequent phase of treatment or in preparation for cleanup and returning the well to production.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/flowback
fracturing mandrel,A sleeve with a flanged top connection upon which a frac tree is installed. The sleeve is inserted into a wellhead to isolate its low-pressure connections from the higher fracturing pressures. The fracturing mandrel enables the use of low-pressure wellheads that could not normally withstand the higher pressures necessary for hydraulic fracturing.,Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/fracturing_mandrel
frac head,A flow cross installed on top of a frac tree where treating iron is connected and treatment fluid enters the frac tree.,Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/frac_head
free point,"The depth at which a tubing or coiled tubing string that is stuck in the wellbore is free to move. When the tubing string must be cut to enable recovery, the free point should be known to ensure retrieval of the cut tubing. This enables remedial action to be taken to resolve the sticking mechanism on the portion of the string below the cut.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/free_point
friction reducer,"An additive, generally in slurry or liquid form, used to reduce the friction forces experienced by tools and tubulars in the wellbore. Friction reducers are routinely used in horizontal and highly deviated wellbores where the friction forces limit the passage of tools along the wellbore.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/friction_reducer
frac valve,A high-pressure isolation valve fitted to the top of the wellhead on a well that is about to be hydraulically fractured. The frac valve can be closed to isolate the treating equipment from the wellbore.,Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/frac_valve
frac manifold,"A system of frac valves that directs treatment fluid from the missile to multiple frac trees. The frac manifold facilitates quick redirection of fracturing pressure from one well to another, enabling pump trucks to run nearly continuously to minimize downtime.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/frac_manifold
field weld,"A welding technique used to join two tubes in which the squared and prepared ends are butted together in preparation for welding. The resulting circumferential weld has relatively good strength characteristics but has limitations where the tube is to be plastically deformed or bent, such as occurs on a coiled tubing string. Consequently, butt welds performed on a coiled tubing string should be checked carefully using hardness and radiographic testing methods and their locations detailed in the string record. The anticipated fatigue life in the butt-weld area must also be reduced to compensate for the weakness of the weld.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/field_weld
frac pump,"A high-pressure, high-volume pump used in hydraulic fracturing treatments.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/frac_pump
frac stack,"A Christmas tree installed specifically for the fracturing process. A frac stack typically consists of upper and lower master valves, flow cross, wing valves, goat head, and swab valve. Frac stacks generally have larger bores and higher pressure ratings than production trees to accommodate the high flow rates and pressures necessary for hydraulic fracturing.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/frac_stack
frac iron,"The temporary surface piping, valves, and manifolds necessary to deliver a fluid treatment to the wellbore from the mixing and pumping equipment.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/frac_iron
fracturing pressure, Pressure above which injection of fluids will cause the rock formation to fracture hydraulically.,Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/fracturing_pressure
frac crew,"Collective term for the personnel required to run a successful hydraulic fracturing operation. Members of the frac crew prepare the equipment on the wellsite prior to the operation, mix and pump the necessary chemicals and fluids during the frac job and render the wellsite location safe following the completion of the operation.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/frac_crew
fracturing sleeve,"Similar to a fracturing mandrel, a fracturing sleeve is temporarily inserted into a wellhead before the fracturing process begins to isolate low-pressure connections from the higher fracturing pressures. Fracturing sleeves differ from fracturing mandrels in that the fracturing sleeve is fully contained within the wellhead, and the frac tree is installed on the wellhead, not the sleeve.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/fracturing_sleeve
fracturing manifold,"A system of frac valves that directs treatment fluid from the missile to multiple frac trees. The frac manifold facilitates quick redirection of fracturing pressure from one well to another, enabling pump trucks to run nearly continuously to minimize downtime.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/fracturing_manifold
frac tree,"A Christmas tree installed specifically for the fracturing process. A frac tree typically consists of upper and lower master valves, flow cross, wing valves, goat head, and swab valve. Frac trees generally have larger bores and higher pressure ratings than production trees to accommodate the high flow rates and pressures necessary for hydraulic fracturing.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/frac_tree
frac job,"Another term for hydraulic fracturing, a stimulation treatment routinely performed on oil and gas wells in low-permeability reservoirs. Specially engineered fluids are pumped at high pressure and rate into the reservoir interval to be treated, causing a vertical fracture to open. The wings of the fracture extend away from the wellbore in opposing directions according to the natural stresses within the formation. Proppant, such as grains of sand of a particular size, is mixed with the treatment fluid to keep the fracture open when the treatment is complete. Hydraulic fracturing creates high-conductivity communication with a large area of formation and bypasses any damage that may exist in the near-wellbore area.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/frac_job
frac balls,"Another term for ball sealers, small spheres designed to seal perforations that are accepting the most fluid, thereby diverting reservoir treatments to other portions of the target zone. Ball sealers are incorporated into the treatment fluid and pumped with it. The effectiveness of this type of mechanical diversion to keep the balls in place is strongly dependent on the differential pressure across the perforation and the geometry of the perforation itself.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/frac_balls
frac gradient,"The pressure gradient, generally stated in psi/ft [kPa/m], at which a specific formation interval breaks down and accepts fluid. Determining the frac gradient is a key requirement in designing and analyzing a hydraulic fracturing treatment.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/frac_gradient
frac gel,"The primary fluid used in hydraulic fracturing operations. Several chemical additives generally will be added to the frac gel to form a treatment fluid specifically designed for the anticipated wellbore, reservoir and operating conditions.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/frac_gel
flowmeter,A device installed in a pump manifold or treating line to measure the fluid flow rate. Flowmeters can be used to measure the flow rates of liquid or gas and are available in various configurations and with differing operating principles.,Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/flowmeter
formic acid,"An organic acid used in the stimulation of high-temperature oil and gas wells in which conventional hydrochloric acid systems cannot be adequately inhibited, or where contact time with tubulars is likely to be extended.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/formic_acid
fluid level,"The depth, or distance from surface, that the fluid in a well incapable of natural flow will reach under static conditions.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/fluid_level
free-point indicator,"A wireline tool used to determine the free point on a stuck string. The free-point indicator operates by detecting stretch in the tubular when tension is applied at surface. If stretch is not detected, the string must be stuck above the tool; if stretch is detected, the string is free above the free-point indicator tool.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/free-point_indicator
flow meter,A device installed in a pump manifold or treating line to measure the fluid flow rate. Flowmeters can be used to measure the flow rates of liquid or gas and are available in various configurations and with differing operating principles.,Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/flow_meter
fluid-friction reducer,"A chemical additive that alters fluid rheological properties to reduce friction created within the fluid as it flows through small-diameter tubulars or similar restrictions. Generally polymers, or similar friction reducing agents, add viscosity to the fluid, which reduces the turbulence induced as the fluid flows. Reductions in fluid friction of 50 to 60% are possible.",Noun,Well Workover And Intervention,https://glossary.slb.com/en/terms/f/fluid-friction_reducer
